,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.335,0.0,0.0,0.0,10,0.1,0.102,112.093
1,0.415,0.003,0.333,0.001,20,0.117,0.102,109.824
2,0.408,0.008,0.25,0.004,40,0.092,0.102,106.713
3,0.36,0.006,0.222,0.003,60,0.083,0.102,108.891
4,0.335,0.0,0.0,0.0,80,0.096,0.102,108.442
5,0.37,0.117,0.231,0.08,100,0.093,0.102,113.194
6,0.425,0.088,0.215,0.068,120,0.089,0.102,119.093
7,0.411,0.189,0.376,0.127,140,0.093,0.102,118.015
8,0.402,0.131,0.286,0.087,160,0.092,0.102,118.537
9,0.389,0.198,0.401,0.141,180,0.093,0.102,120.263
10,0.445,0.264,0.369,0.231,200,0.093,0.102,114.229
11,0.413,0.32,0.437,0.266,240,0.1,0.102,115.849
12,0.416,0.38,0.497,0.316,280,0.104,0.102,118.619
13,0.395,0.366,0.492,0.292,320,0.103,0.102,122.188
14,0.412,0.382,0.515,0.313,360,0.096,0.102,120.783
15,0.376,0.459,0.555,0.4,400,0.097,0.102,128.356
16,0.428,0.396,0.564,0.306,440,0.095,0.102,121.994
17,0.389,0.469,0.606,0.385,480,0.094,0.102,129.163
18,0.415,0.443,0.525,0.387,520,0.093,0.102,132.684
19,0.404,0.43,0.569,0.348,560,0.092,0.103,128.402
20,0.419,0.458,0.581,0.38,600,0.091,0.103,142.829
21,0.423,0.461,0.557,0.395,640,0.09,0.103,138.615
22,0.402,0.475,0.592,0.409,680,0.091,0.103,141.658
23,0.401,0.483,0.564,0.437,720,0.093,0.103,143.753
24,0.37,0.491,0.588,0.423,760,0.094,0.103,147.481
25,0.404,0.487,0.593,0.416,800,0.095,0.103,146.231
26,0.382,0.538,0.583,0.503,840,0.096,0.102,151.667
27,0.382,0.52,0.617,0.453,880,0.097,0.102,151.898
28,0.365,0.514,0.604,0.449,920,0.096,0.103,156.227
29,0.384,0.511,0.609,0.442,960,0.094,0.103,152.776
30,0.403,0.51,0.598,0.446,1000,0.095,0.103,157.333
31,0.368,0.587,0.655,0.533,1718,0.101,0.102,165.308
32,0.3,0.668,0.705,0.635,3437,0.101,0.102,217.568
33,0.281,0.683,0.727,0.644,6874,0.102,0.102,306.087
