,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.505,0.515,0.372,0.843,128.0,116.168,0.5,0.094
1,0.359,0.576,0.47,0.746,168.0,127.136,0.411,0.094
2,0.4,0.542,0.449,0.682,208.0,128.497,0.365,0.093
3,0.283,0.579,0.531,0.64,248.0,135.506,0.349,0.092
4,0.351,0.579,0.502,0.698,288.0,135.735,0.341,0.091
5,0.31,0.579,0.554,0.608,328.0,135.835,0.329,0.09
6,0.302,0.598,0.586,0.611,368.0,140.832,0.324,0.089
7,0.267,0.643,0.61,0.685,408.0,144.807,0.328,0.087
8,0.27,0.65,0.639,0.662,448.0,141.339,0.322,0.086
9,0.262,0.61,0.555,0.687,488.0,144.238,0.325,0.085
10,0.341,0.409,0.377,0.449,528.0,145.437,0.32,0.084
11,0.252,0.413,0.446,0.386,561.333,151.03,0.323,0.082
12,0.26,0.663,0.681,0.647,594.667,150.566,0.334,0.08
13,0.244,0.67,0.638,0.708,634.667,150.895,0.343,0.077
14,0.26,0.678,0.672,0.685,674.667,154.859,0.343,0.075
15,0.21,0.672,0.673,0.674,714.667,155.989,0.344,0.074
16,0.254,0.648,0.634,0.664,754.667,156.274,0.35,0.071
17,0.247,0.679,0.688,0.671,794.667,158.447,0.351,0.069
18,0.504,0.0,0.0,0.0,834.667,162.512,0.352,0.067
19,0.238,0.664,0.704,0.632,854.667,163.735,0.354,0.066
20,0.329,0.457,0.478,0.437,894.667,162.433,0.355,0.064
21,0.33,0.427,0.423,0.43,928.0,163.707,0.359,0.062
