,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.445,0.264,0.369,0.231,200.0,200.0,100.703,0.093,0.102
1,0.37,0.322,0.529,0.238,280.0,240.0,104.191,0.148,0.1
2,0.35,0.443,0.631,0.346,360.0,280.0,110.179,0.209,0.096
3,0.349,0.49,0.665,0.392,440.0,320.0,110.411,0.249,0.092
4,0.327,0.53,0.645,0.454,520.0,360.0,110.982,0.28,0.087
5,0.313,0.564,0.681,0.483,600.0,400.0,116.726,0.296,0.083
6,0.331,0.556,0.662,0.481,680.0,440.0,117.687,0.311,0.079
7,0.339,0.551,0.734,0.444,760.0,480.0,116.655,0.321,0.074
8,0.3,0.607,0.741,0.517,840.0,520.0,120.367,0.336,0.069
9,0.304,0.597,0.726,0.509,920.0,560.0,123.201,0.345,0.064
10,0.321,0.61,0.73,0.527,1000.0,600.0,123.283,0.35,0.059
11,0.306,0.636,0.765,0.547,1080.0,640.0,130.415,0.352,0.055
12,0.304,0.615,0.746,0.524,1160.0,680.0,134.878,0.357,0.05
13,0.304,0.633,0.749,0.55,1240.0,720.0,130.783,0.358,0.045
14,0.28,0.65,0.761,0.567,1320.0,760.0,131.566,0.36,0.041
15,0.294,0.65,0.769,0.563,1400.0,800.0,138.379,0.358,0.037
16,0.289,0.65,0.758,0.571,1478.0,839.0,139.547,0.356,0.033
17,0.29,0.65,0.731,0.585,1548.0,874.0,144.155,0.351,0.031
18,0.29,0.642,0.764,0.556,1614.667,907.333,143.454,0.345,0.03
19,0.285,0.654,0.755,0.577,1670.0,935.0,146.332,0.339,0.029
20,0.264,0.659,0.771,0.575,1726.0,963.0,151.695,0.333,0.028
