,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.004,0.0,0.0,0.0,10,0.1,0.0,19.878
1,0.08,0.005,0.577,0.002,20,0.126,0.0,24.57
2,0.163,0.015,0.433,0.007,40,0.088,0.001,19.707
3,0.028,0.01,0.385,0.005,60,0.05,0.0,17.907
4,0.021,0.0,0.0,0.0,80,0.056,0.001,16.151
5,0.042,0.103,0.203,0.072,100,0.047,0.001,22.724
6,0.072,0.114,0.086,0.097,120,0.035,0.001,16.54
7,0.052,0.062,0.106,0.044,140,0.019,0.0,25.673
8,0.048,0.094,0.131,0.069,160,0.022,0.001,19.326
9,0.097,0.109,0.12,0.1,180,0.02,0.001,19.669
10,0.027,0.086,0.028,0.141,200,0.019,0.001,18.864
11,0.016,0.093,0.051,0.118,240,0.023,0.001,17.547
12,0.031,0.019,0.087,0.056,280,0.013,0.001,19.069
13,0.018,0.081,0.084,0.075,320,0.008,0.0,13.611
14,0.075,0.049,0.057,0.082,360,0.004,0.0,14.613
15,0.025,0.073,0.017,0.109,400,0.009,0.001,18.14
16,0.023,0.008,0.04,0.011,440,0.006,0.0,13.904
17,0.018,0.008,0.066,0.015,480,0.001,0.0,13.29
18,0.043,0.064,0.016,0.085,520,0.002,0.0,14.545
19,0.078,0.072,0.062,0.077,560,0.004,0.0,18.073
20,0.042,0.016,0.074,0.015,600,0.004,0.0,9.136
21,0.036,0.02,0.038,0.022,640,0.004,0.0,12.473
22,0.051,0.066,0.043,0.105,680,0.003,0.0,13.547
23,0.015,0.045,0.058,0.111,720,0.001,0.0,15.327
24,0.044,0.023,0.032,0.035,760,0.004,0.0,9.811
25,0.038,0.049,0.021,0.066,800,0.002,0.0,14.194
26,0.014,0.033,0.038,0.053,840,0.003,0.0,11.417
27,0.034,0.018,0.066,0.038,880,0.002,0.0,17.005
28,0.012,0.015,0.055,0.024,920,0.001,0.0,14.509
29,0.017,0.014,0.031,0.032,960,0.001,0.0,20.501
30,0.004,0.023,0.066,0.002,1000,0.001,0.0,19.233
31,0.036,0.033,0.023,0.047,1718,0.003,0.001,12.375
32,0.009,0.029,0.018,0.047,3437,0.004,0.004,18.981
33,0.015,0.002,0.013,0.014,6874,0.0,0.0,19.899
