,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.061,0.03,0.034,0.017,128.0,4.885,0.0,0.0
1,0.046,0.004,0.003,0.02,168.0,15.999,0.006,0.0
2,0.015,0.037,0.027,0.056,208.0,12.965,0.005,0.0
3,0.047,0.036,0.06,0.028,248.0,13.247,0.014,0.001
4,0.045,0.029,0.065,0.072,288.0,8.131,0.009,0.0
5,0.039,0.041,0.054,0.051,328.0,8.467,0.014,0.001
6,0.009,0.021,0.007,0.037,368.0,9.921,0.014,0.001
7,0.031,0.012,0.046,0.043,408.0,11.574,0.011,0.001
8,0.02,0.009,0.032,0.03,448.0,10.682,0.02,0.001
9,0.02,0.014,0.042,0.083,488.0,10.017,0.014,0.001
10,0.164,0.357,0.329,0.39,528.0,11.22,0.017,0.001
11,0.037,0.358,0.387,0.337,561.333,12.364,0.026,0.002
12,0.025,0.017,0.02,0.024,594.667,9.977,0.025,0.001
13,0.04,0.015,0.044,0.027,634.667,9.419,0.031,0.002
14,0.058,0.016,0.016,0.045,674.667,9.252,0.034,0.003
15,0.019,0.011,0.039,0.052,714.667,9.969,0.035,0.003
16,0.063,0.012,0.032,0.014,754.667,9.024,0.03,0.003
17,0.077,0.032,0.029,0.055,794.667,4.336,0.029,0.003
18,0.029,0.0,0.0,0.0,834.667,12.367,0.027,0.003
19,0.03,0.023,0.056,0.049,854.667,9.431,0.024,0.002
20,0.142,0.396,0.414,0.379,894.667,8.718,0.021,0.002
21,0.146,0.371,0.367,0.376,928.0,7.793,0.015,0.001
