,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.027,0.086,0.028,0.141,200.0,200.0,10.677,0.019,0.001
1,0.024,0.053,0.07,0.06,280.0,240.0,15.618,0.029,0.001
2,0.043,0.075,0.026,0.084,360.0,280.0,14.827,0.014,0.001
3,0.049,0.07,0.068,0.075,440.0,320.0,16.544,0.02,0.001
4,0.03,0.042,0.042,0.069,520.0,360.0,12.876,0.019,0.002
5,0.029,0.053,0.033,0.068,600.0,400.0,12.251,0.015,0.001
6,0.046,0.066,0.075,0.071,680.0,440.0,15.349,0.014,0.002
7,0.046,0.051,0.034,0.067,760.0,480.0,11.312,0.015,0.002
8,0.029,0.014,0.045,0.045,840.0,520.0,10.722,0.012,0.002
9,0.016,0.022,0.02,0.041,920.0,560.0,14.914,0.009,0.001
10,0.044,0.037,0.027,0.059,1000.0,600.0,12.261,0.003,0.0
11,0.027,0.04,0.013,0.065,1080.0,640.0,13.016,0.002,0.0
12,0.021,0.019,0.034,0.028,1160.0,680.0,15.98,0.003,0.001
13,0.032,0.033,0.033,0.047,1240.0,720.0,8.494,0.001,0.0
14,0.008,0.001,0.006,0.002,1320.0,760.0,6.581,0.002,0.001
15,0.019,0.017,0.025,0.024,1400.0,800.0,10.145,0.003,0.002
16,0.027,0.014,0.035,0.036,1478.0,839.0,9.562,0.003,0.003
17,0.024,0.031,0.019,0.038,1548.0,874.0,11.323,0.003,0.003
18,0.021,0.017,0.032,0.041,1614.667,907.333,7.758,0.004,0.003
19,0.013,0.003,0.018,0.013,1670.0,935.0,6.554,0.0,0.003
20,0.022,0.02,0.007,0.03,1726.0,963.0,5.214,0.001,0.003
