,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.451,0.0,0.0,0.0,10,0.233,0.18,203.566
1,0.447,0.021,0.427,0.011,20,0.217,0.179,212.079
2,0.168,0.819,0.933,0.731,40,0.242,0.179,221.701
3,0.158,0.798,0.956,0.696,60,0.222,0.179,225.574
4,0.144,0.882,0.908,0.87,80,0.204,0.179,212.637
5,0.104,0.899,0.929,0.875,100,0.2,0.179,212.964
6,0.082,0.931,0.906,0.958,120,0.189,0.179,215.642
7,0.081,0.931,0.888,0.979,140,0.198,0.179,216.572
8,0.077,0.923,0.885,0.969,160,0.192,0.179,219.716
9,0.07,0.945,0.931,0.959,180,0.194,0.179,219.565
10,0.083,0.941,0.919,0.965,200,0.195,0.179,214.782
11,0.071,0.946,0.933,0.96,240,0.186,0.179,219.434
12,0.065,0.951,0.935,0.968,280,0.183,0.179,226.005
13,0.077,0.943,0.913,0.976,320,0.184,0.179,223.282
14,0.061,0.961,0.949,0.974,360,0.18,0.18,222.633
15,0.069,0.956,0.941,0.971,400,0.175,0.18,231.872
16,0.082,0.953,0.94,0.966,440,0.178,0.18,224.898
17,0.064,0.96,0.951,0.969,480,0.181,0.18,227.221
18,0.063,0.959,0.944,0.974,520,0.178,0.18,233.108
19,0.055,0.963,0.954,0.973,560,0.183,0.179,234.585
20,0.075,0.959,0.947,0.972,600,0.184,0.179,242.813
21,0.059,0.96,0.95,0.971,640,0.189,0.179,245.964
22,0.052,0.967,0.957,0.977,680,0.189,0.179,251.988
23,0.055,0.964,0.951,0.978,720,0.193,0.178,243.01
24,0.053,0.965,0.949,0.98,760,0.193,0.178,258.553
25,0.051,0.967,0.955,0.98,800,0.192,0.178,263.055
26,0.049,0.966,0.952,0.98,840,0.189,0.178,247.235
27,0.056,0.969,0.959,0.979,880,0.188,0.179,264.895
28,0.046,0.967,0.956,0.979,920,0.186,0.179,263.195
29,0.057,0.965,0.949,0.983,960,0.188,0.178,251.032
30,0.047,0.969,0.958,0.98,1000,0.188,0.178,260.967
31,0.03,0.978,0.975,0.981,1854,0.187,0.177,292.569
32,0.026,0.983,0.978,0.988,3708,0.181,0.178,352.946
33,0.018,0.986,0.986,0.986,7417,0.18,0.18,495.635
