,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.162,0.901,0.826,0.992,128,200.231,0.5,0.174
1,0.067,0.965,0.943,0.987,168,237.588,0.397,0.175
2,0.033,0.979,0.967,0.99,208,241.171,0.378,0.174
3,0.02,0.987,0.991,0.983,248,239.152,0.38,0.173
4,0.021,0.988,0.984,0.992,288,243.579,0.399,0.171
5,0.02,0.987,0.989,0.984,328,246.605,0.41,0.169
6,0.017,0.99,0.99,0.989,368,244.746,0.424,0.167
7,0.021,0.987,0.981,0.992,408,250.304,0.432,0.165
8,0.018,0.988,0.986,0.989,448,257.295,0.421,0.164
9,0.017,0.988,0.988,0.989,488,258.238,0.43,0.162
10,0.016,0.988,0.99,0.985,528,261.513,0.436,0.16
11,0.017,0.988,0.984,0.991,568,261.35,0.44,0.158
12,0.018,0.988,0.99,0.986,608,274.28,0.444,0.156
13,0.018,0.987,0.987,0.987,648,274.558,0.447,0.154
14,0.014,0.988,0.988,0.989,688,273.402,0.449,0.152
15,0.014,0.991,0.992,0.989,728,273.339,0.452,0.15
16,0.015,0.99,0.992,0.988,768,279.308,0.455,0.148
17,0.017,0.988,0.989,0.986,808,292.328,0.457,0.146
18,0.018,0.988,0.989,0.988,848,285.894,0.459,0.144
19,0.013,0.991,0.992,0.989,888,288.904,0.461,0.141
20,0.016,0.989,0.988,0.989,928,299.614,0.463,0.139
21,0.014,0.989,0.989,0.989,968,305.528,0.464,0.137
