,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.083,0.941,0.919,0.965,200,200,170.886,0.195,0.179
1,0.045,0.969,0.962,0.975,280,240,188.507,0.263,0.176
2,0.031,0.979,0.977,0.98,360,280,204.564,0.302,0.173
3,0.028,0.98,0.972,0.987,440,320,202.075,0.332,0.17
4,0.022,0.984,0.979,0.989,520,360,200.385,0.349,0.167
5,0.021,0.984,0.981,0.986,600,400,206.552,0.364,0.163
6,0.019,0.987,0.985,0.988,680,440,203.336,0.375,0.16
7,0.018,0.986,0.986,0.986,760,480,201.848,0.389,0.156
8,0.018,0.987,0.985,0.988,840,520,206.75,0.4,0.151
9,0.016,0.987,0.986,0.987,920,560,212.729,0.409,0.147
10,0.017,0.986,0.987,0.985,1000,600,213.106,0.416,0.143
11,0.015,0.986,0.988,0.984,1080,640,213.516,0.422,0.138
12,0.015,0.986,0.987,0.986,1160,680,221.934,0.427,0.134
13,0.016,0.986,0.989,0.983,1240,720,219.715,0.432,0.129
14,0.015,0.988,0.989,0.986,1320,760,227.747,0.436,0.124
15,0.018,0.986,0.988,0.984,1400,800,231.698,0.44,0.119
16,0.016,0.986,0.987,0.984,1480,840,231.113,0.443,0.114
17,0.017,0.985,0.988,0.982,1560,880,234.363,0.446,0.109
18,0.014,0.986,0.986,0.985,1640,920,241.21,0.449,0.103
19,0.02,0.985,0.986,0.984,1720,960,251.323,0.451,0.098
20,0.018,0.987,0.985,0.988,1800,1000,246.139,0.453,0.092
