,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.029,0.0,0.0,0.0,10,0.058,0.0,10.741
1,0.053,0.019,0.516,0.01,20,0.104,0.0,17.221
2,0.024,0.07,0.04,0.086,40,0.014,0.0,19.833
3,0.042,0.105,0.014,0.153,60,0.01,0.0,15.52
4,0.015,0.021,0.074,0.11,80,0.04,0.0,2.37
5,0.008,0.019,0.037,0.067,100,0.04,0.001,8.078
6,0.022,0.02,0.048,0.012,120,0.043,0.001,16.914
7,0.015,0.017,0.037,0.012,140,0.044,0.001,12.479
8,0.022,0.033,0.079,0.023,160,0.043,0.001,12.242
9,0.013,0.003,0.019,0.021,180,0.031,0.001,13.862
10,0.028,0.018,0.045,0.014,200,0.038,0.001,7.095
11,0.007,0.01,0.017,0.025,240,0.025,0.001,18.92
12,0.009,0.009,0.025,0.017,280,0.027,0.001,10.704
13,0.015,0.017,0.038,0.009,320,0.017,0.001,14.258
14,0.019,0.009,0.008,0.011,360,0.018,0.001,10.992
15,0.01,0.004,0.003,0.01,400,0.019,0.001,10.054
16,0.024,0.01,0.009,0.02,440,0.018,0.001,10.037
17,0.011,0.006,0.011,0.005,480,0.016,0.001,6.765
18,0.018,0.009,0.012,0.005,520,0.012,0.001,1.619
19,0.014,0.007,0.009,0.006,560,0.014,0.001,5.751
20,0.008,0.002,0.005,0.001,600,0.015,0.001,9.165
21,0.014,0.01,0.022,0.003,640,0.012,0.001,5.335
22,0.014,0.007,0.012,0.007,680,0.013,0.001,9.141
23,0.017,0.008,0.013,0.003,720,0.015,0.002,5.783
24,0.007,0.003,0.004,0.005,760,0.016,0.002,1.791
25,0.008,0.003,0.01,0.004,800,0.016,0.002,9.841
26,0.008,0.007,0.014,0.005,840,0.02,0.003,7.103
27,0.014,0.008,0.014,0.001,880,0.017,0.002,1.165
28,0.002,0.002,0.004,0.005,920,0.02,0.003,9.601
29,0.025,0.011,0.025,0.003,960,0.021,0.003,4.775
30,0.006,0.005,0.008,0.008,1000,0.017,0.003,8.452
31,0.002,0.003,0.012,0.006,1854,0.009,0.003,2.209
32,0.004,0.002,0.006,0.003,3708,0.004,0.004,14.258
33,0.003,0.001,0.003,0.001,7417,0.0,0.0,12.394
