,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.051,0.023,0.039,0.001,128,14.252,0.0,0.0
1,0.028,0.012,0.02,0.003,168,14.347,0.012,0.0
2,0.024,0.012,0.024,0.001,208,13.536,0.003,0.0
3,0.001,0.004,0.002,0.009,248,9.762,0.044,0.002
4,0.003,0.0,0.003,0.003,288,3.527,0.015,0.001
5,0.001,0.001,0.005,0.005,328,14.708,0.008,0.0
6,0.003,0.001,0.001,0.001,368,11.767,0.018,0.001
7,0.007,0.004,0.01,0.003,408,11.48,0.012,0.001
8,0.001,0.004,0.006,0.003,448,10.929,0.03,0.002
9,0.002,0.001,0.003,0.002,488,12.086,0.026,0.002
10,0.003,0.0,0.001,0.001,528,15.0,0.025,0.002
11,0.001,0.003,0.006,0.002,568,10.809,0.023,0.002
12,0.004,0.001,0.001,0.0,608,19.829,0.021,0.002
13,0.002,0.001,0.003,0.001,648,11.245,0.021,0.002
14,0.001,0.002,0.003,0.0,688,18.211,0.019,0.002
15,0.004,0.002,0.003,0.001,728,10.053,0.018,0.002
16,0.003,0.001,0.001,0.001,768,9.387,0.017,0.002
17,0.0,0.002,0.001,0.003,808,22.114,0.016,0.002
18,0.003,0.001,0.0,0.001,848,19.017,0.016,0.002
19,0.002,0.002,0.003,0.002,888,13.815,0.015,0.002
20,0.005,0.003,0.008,0.001,928,23.192,0.014,0.002
21,0.002,0.002,0.001,0.004,968,16.351,0.014,0.002
