,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.028,0.018,0.045,0.014,200,200,7.318,0.038,0.001
1,0.009,0.006,0.016,0.01,280,240,12.834,0.026,0.001
2,0.004,0.002,0.007,0.003,360,280,17.835,0.008,0.0
3,0.007,0.004,0.007,0.005,440,320,15.291,0.01,0.001
4,0.008,0.004,0.009,0.001,520,360,15.385,0.007,0.001
5,0.004,0.004,0.007,0.001,600,400,18.23,0.005,0.0
6,0.003,0.002,0.006,0.001,680,440,6.954,0.009,0.001
7,0.003,0.002,0.003,0.001,760,480,6.481,0.009,0.001
8,0.003,0.002,0.003,0.001,840,520,11.072,0.01,0.001
9,0.002,0.002,0.006,0.001,920,560,8.991,0.008,0.001
10,0.003,0.002,0.001,0.003,1000,600,5.386,0.009,0.001
11,0.002,0.002,0.001,0.004,1080,640,7.148,0.009,0.001
12,0.002,0.002,0.004,0.002,1160,680,16.611,0.008,0.002
13,0.001,0.001,0.002,0.001,1240,720,17.618,0.008,0.002
14,0.002,0.002,0.003,0.001,1320,760,7.03,0.007,0.002
15,0.005,0.003,0.005,0.002,1400,800,10.159,0.007,0.002
16,0.001,0.002,0.001,0.002,1480,840,9.653,0.007,0.002
17,0.003,0.002,0.003,0.007,1560,880,12.583,0.007,0.002
18,0.003,0.001,0.002,0.001,1640,920,9.943,0.007,0.002
19,0.001,0.002,0.002,0.002,1720,960,11.328,0.007,0.002
20,0.006,0.003,0.006,0.001,1800,1000,7.951,0.006,0.002
