,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.547,0.127,0.082,0.278,10,0.333,0.186,325.565
1,0.484,0.211,0.293,0.165,20,0.267,0.186,305.028
2,0.365,0.285,0.285,0.286,40,0.2,0.186,340.583
3,0.293,0.493,0.606,0.422,60,0.217,0.186,328.46
4,0.279,0.532,0.95,0.465,80,0.196,0.186,328.124
5,0.229,0.755,0.904,0.665,100,0.193,0.186,318.983
6,0.201,0.816,0.929,0.729,120,0.2,0.186,339.167
7,0.205,0.827,0.905,0.764,140,0.183,0.186,328.659
8,0.168,0.847,0.897,0.812,160,0.177,0.186,314.833
9,0.185,0.861,0.913,0.819,180,0.174,0.186,333.287
10,0.182,0.865,0.889,0.843,200,0.168,0.186,368.802
11,0.158,0.88,0.885,0.877,240,0.178,0.186,324.669
12,0.154,0.89,0.896,0.886,280,0.182,0.186,334.495
13,0.141,0.891,0.896,0.887,320,0.184,0.186,342.279
14,0.152,0.895,0.904,0.887,360,0.186,0.186,345.889
15,0.153,0.893,0.91,0.879,400,0.188,0.186,331.421
16,0.149,0.901,0.902,0.9,440,0.189,0.186,343.207
17,0.157,0.898,0.911,0.887,480,0.189,0.186,359.231
18,0.158,0.9,0.905,0.895,520,0.19,0.186,353.881
19,0.147,0.896,0.893,0.9,560,0.19,0.186,350.814
20,0.158,0.902,0.895,0.909,600,0.192,0.186,350.71
21,0.149,0.907,0.895,0.92,640,0.192,0.186,340.456
22,0.141,0.907,0.906,0.908,680,0.189,0.186,368.36
23,0.156,0.9,0.905,0.895,720,0.184,0.186,369.682
24,0.146,0.908,0.915,0.901,760,0.187,0.186,371.707
25,0.15,0.905,0.913,0.898,800,0.187,0.186,357.369
26,0.139,0.913,0.908,0.918,840,0.188,0.186,355.935
27,0.144,0.913,0.912,0.914,880,0.188,0.186,346.746
28,0.156,0.907,0.903,0.912,920,0.187,0.186,370.617
29,0.154,0.907,0.914,0.902,960,0.189,0.186,372.826
30,0.162,0.91,0.915,0.907,1000,0.188,0.186,373.286
31,0.14,0.932,0.931,0.933,4305,0.186,0.186,492.91
32,0.117,0.937,0.937,0.937,8611,0.183,0.189,662.521
33,0.107,0.949,0.946,0.952,17223,0.186,0.186,979.292
