,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.213,0.869,0.776,0.987,128,326.316,0.5,0.184
1,0.196,0.899,0.836,0.973,168,402.877,0.407,0.184
2,0.126,0.924,0.895,0.955,208,407.1,0.373,0.184
3,0.105,0.935,0.921,0.95,248,408.253,0.362,0.184
4,0.1,0.939,0.922,0.956,288,400.805,0.389,0.183
5,0.099,0.939,0.932,0.947,328,405.037,0.389,0.182
6,0.2,0.932,0.936,0.929,368,409.541,0.396,0.182
7,0.097,0.94,0.937,0.944,408,414.95,0.412,0.181
8,0.097,0.939,0.94,0.938,448,427.938,0.41,0.18
9,0.091,0.944,0.939,0.948,488,429.694,0.419,0.179
10,0.093,0.945,0.939,0.951,528,430.17,0.426,0.179
11,0.096,0.945,0.946,0.945,568,441.952,0.428,0.178
12,0.094,0.949,0.941,0.956,608,426.332,0.438,0.177
13,0.089,0.946,0.942,0.95,648,427.313,0.443,0.176
14,0.086,0.952,0.95,0.954,688,428.36,0.449,0.175
15,0.088,0.948,0.94,0.957,728,423.141,0.451,0.175
16,0.094,0.95,0.942,0.958,768,422.603,0.451,0.174
17,0.084,0.95,0.947,0.953,808,436.951,0.452,0.173
18,0.091,0.947,0.945,0.949,848,442.607,0.446,0.173
19,0.084,0.951,0.942,0.96,888,444.743,0.45,0.172
20,0.095,0.95,0.955,0.946,928,444.331,0.453,0.171
21,0.083,0.953,0.949,0.958,968,441.506,0.458,0.17
