,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.182,0.865,0.889,0.843,200,200,256.146,0.168,0.186
1,0.14,0.891,0.88,0.906,280,240,310.047,0.269,0.185
2,0.135,0.904,0.909,0.9,360,280,309.025,0.317,0.183
3,0.132,0.909,0.9,0.918,440,320,311.047,0.35,0.182
4,0.125,0.916,0.921,0.911,520,360,306.203,0.367,0.181
5,0.122,0.922,0.919,0.926,600,400,308.729,0.392,0.179
6,0.114,0.922,0.926,0.917,680,440,307.626,0.4,0.177
7,0.12,0.93,0.93,0.931,760,480,311.374,0.413,0.176
8,0.111,0.929,0.925,0.933,840,520,318.771,0.423,0.174
9,0.118,0.93,0.924,0.935,920,560,321.447,0.426,0.173
10,0.119,0.931,0.928,0.934,1000,600,324.58,0.431,0.171
11,0.109,0.935,0.932,0.937,1080,640,325.644,0.434,0.17
12,0.12,0.93,0.927,0.934,1160,680,334.361,0.439,0.168
13,0.101,0.934,0.94,0.929,1240,720,335.209,0.443,0.166
14,0.104,0.941,0.933,0.949,1320,760,337.791,0.447,0.165
15,0.101,0.939,0.931,0.947,1400,800,340.762,0.45,0.163
16,0.101,0.937,0.927,0.948,1480,840,344.838,0.453,0.161
17,0.102,0.941,0.936,0.946,1560,880,354.976,0.455,0.159
18,0.107,0.939,0.939,0.94,1640,920,355.728,0.457,0.158
19,0.099,0.942,0.935,0.95,1720,960,351.954,0.462,0.156
20,0.098,0.942,0.936,0.95,1800,1000,353.521,0.461,0.154
