,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.12,0.22,0.143,0.481,10,0.153,0.0,25.683
1,0.058,0.365,0.507,0.285,20,0.126,0.0,27.578
2,0.157,0.494,0.493,0.495,40,0.09,0.0,49.117
3,0.125,0.431,0.526,0.378,60,0.06,0.0,49.968
4,0.13,0.455,0.043,0.402,80,0.052,0.0,15.494
5,0.099,0.124,0.021,0.191,100,0.035,0.0,20.688
6,0.046,0.047,0.014,0.068,120,0.029,0.0,53.266
7,0.054,0.046,0.01,0.086,140,0.027,0.0,39.102
8,0.031,0.04,0.049,0.113,160,0.02,0.0,39.521
9,0.053,0.032,0.024,0.076,180,0.018,0.0,35.927
10,0.003,0.011,0.01,0.025,200,0.016,0.0,82.78
11,0.019,0.023,0.015,0.059,240,0.029,0.0,45.787
12,0.01,0.009,0.027,0.046,280,0.026,0.0,14.872
13,0.014,0.008,0.019,0.027,320,0.033,0.001,37.95
14,0.007,0.001,0.023,0.024,360,0.02,0.0,38.643
15,0.019,0.019,0.027,0.058,400,0.016,0.0,41.589
16,0.005,0.007,0.02,0.015,440,0.016,0.0,11.566
17,0.005,0.012,0.013,0.034,480,0.017,0.0,38.649
18,0.01,0.01,0.015,0.011,520,0.013,0.0,30.789
19,0.011,0.014,0.014,0.037,560,0.009,0.0,37.887
20,0.005,0.003,0.025,0.022,600,0.005,0.0,33.339
21,0.009,0.004,0.008,0.013,640,0.007,0.0,35.831
22,0.008,0.009,0.011,0.029,680,0.009,0.0,35.292
23,0.01,0.008,0.017,0.029,720,0.007,0.0,37.691
24,0.023,0.009,0.013,0.03,760,0.009,0.0,34.766
25,0.023,0.014,0.011,0.036,800,0.009,0.0,29.118
26,0.02,0.011,0.002,0.022,840,0.009,0.0,26.266
27,0.017,0.01,0.002,0.017,880,0.006,0.0,31.873
28,0.029,0.014,0.021,0.042,920,0.003,0.0,48.126
29,0.026,0.013,0.013,0.028,960,0.004,0.0,20.331
30,0.036,0.021,0.017,0.055,1000,0.003,0.0,27.58
31,0.012,0.007,0.01,0.022,4305,0.005,0.002,27.313
32,0.007,0.005,0.006,0.013,8611,0.002,0.002,40.423
33,0.008,0.001,0.005,0.005,17223,0.0,0.0,33.901
