,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.014,0.017,0.028,0.005,128,21.617,0.0,0.0
1,0.088,0.021,0.046,0.016,168,27.238,0.021,0.0
2,0.022,0.009,0.025,0.015,208,31.49,0.034,0.0
3,0.013,0.001,0.012,0.013,248,27.878,0.028,0.0
4,0.01,0.0,0.005,0.007,288,28.551,0.003,0.0
5,0.004,0.003,0.008,0.008,328,32.39,0.012,0.0
6,0.167,0.009,0.009,0.023,368,29.448,0.011,0.0
7,0.002,0.002,0.02,0.019,408,22.997,0.009,0.0
8,0.002,0.006,0.005,0.009,448,27.168,0.008,0.0
9,0.006,0.001,0.009,0.01,488,23.607,0.009,0.0
10,0.006,0.004,0.004,0.006,528,20.086,0.007,0.0
11,0.003,0.001,0.003,0.005,568,9.594,0.006,0.0
12,0.002,0.001,0.007,0.006,608,24.743,0.003,0.0
13,0.005,0.003,0.003,0.003,648,24.358,0.006,0.0
14,0.002,0.002,0.001,0.002,688,35.304,0.009,0.0
15,0.01,0.002,0.01,0.014,728,25.468,0.007,0.0
16,0.008,0.004,0.006,0.01,768,18.085,0.006,0.0
17,0.006,0.001,0.001,0.002,808,24.451,0.007,0.0
18,0.004,0.006,0.007,0.006,848,22.101,0.011,0.001
19,0.002,0.004,0.001,0.007,888,31.782,0.011,0.001
20,0.005,0.005,0.007,0.013,928,23.958,0.008,0.0
21,0.004,0.002,0.012,0.008,968,20.789,0.009,0.001
