,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.003,0.011,0.01,0.025,200,200,19.71,0.016,0.0
1,0.008,0.007,0.043,0.044,280,240,30.607,0.002,0.0
2,0.008,0.006,0.023,0.014,360,280,29.076,0.017,0.0
3,0.005,0.006,0.008,0.017,440,320,22.079,0.012,0.0
4,0.004,0.003,0.01,0.007,520,360,18.005,0.008,0.0
5,0.016,0.008,0.002,0.017,600,400,14.364,0.013,0.0
6,0.001,0.005,0.004,0.011,680,440,7.763,0.011,0.0
7,0.014,0.003,0.004,0.005,760,480,9.659,0.011,0.001
8,0.005,0.003,0.004,0.005,840,520,20.012,0.016,0.001
9,0.004,0.004,0.005,0.009,920,560,18.315,0.02,0.001
10,0.008,0.006,0.002,0.013,1000,600,18.381,0.019,0.001
11,0.007,0.0,0.002,0.002,1080,640,14.515,0.015,0.001
12,0.006,0.003,0.003,0.006,1160,680,10.905,0.011,0.001
13,0.005,0.004,0.005,0.004,1240,720,21.909,0.007,0.001
14,0.004,0.003,0.01,0.007,1320,760,22.773,0.012,0.001
15,0.003,0.003,0.009,0.003,1400,800,18.504,0.013,0.001
16,0.006,0.003,0.005,0.007,1480,840,11.008,0.016,0.002
17,0.0,0.0,0.008,0.008,1560,880,18.351,0.015,0.001
18,0.009,0.004,0.005,0.01,1640,920,20.963,0.013,0.001
19,0.007,0.003,0.012,0.008,1720,960,12.787,0.013,0.001
20,0.006,0.002,0.003,0.002,1800,1000,5.592,0.014,0.002
