,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.315,0.0,0.0,0.0,10,0.1,0.094,296.529
1,0.361,0.0,0.0,0.0,20,0.067,0.094,315.971
2,0.312,0.0,0.0,0.0,40,0.083,0.094,307.52
3,0.329,0.0,0.0,0.0,60,0.067,0.094,299.44
4,0.328,0.0,0.0,0.0,80,0.083,0.094,299.738
5,0.356,0.0,0.0,0.0,100,0.083,0.094,298.206
6,0.337,0.003,0.033,0.002,120,0.083,0.094,307.189
7,0.414,0.039,0.198,0.024,140,0.083,0.094,311.935
8,0.417,0.08,0.187,0.054,160,0.081,0.094,310.518
9,0.396,0.078,0.149,0.055,180,0.08,0.094,309.23
10,0.418,0.074,0.163,0.048,200,0.083,0.094,305.118
11,0.488,0.114,0.21,0.079,240,0.092,0.094,317.18
12,0.486,0.107,0.162,0.083,280,0.085,0.094,321.01
13,0.492,0.077,0.204,0.048,320,0.078,0.095,320.164
14,0.501,0.089,0.16,0.062,360,0.08,0.095,311.747
15,0.499,0.129,0.261,0.086,400,0.082,0.095,321.455
16,0.513,0.105,0.226,0.069,440,0.081,0.095,318.379
17,0.491,0.15,0.324,0.098,480,0.083,0.095,324.071
18,0.519,0.17,0.351,0.112,520,0.082,0.095,329.944
19,0.526,0.146,0.298,0.097,560,0.078,0.095,321.49
20,0.5,0.185,0.347,0.128,600,0.081,0.095,328.603
21,0.492,0.233,0.362,0.173,640,0.083,0.095,320.281
22,0.499,0.205,0.335,0.149,680,0.084,0.095,321.926
23,0.507,0.218,0.352,0.161,720,0.086,0.095,323.876
24,0.527,0.226,0.381,0.166,760,0.086,0.095,331.973
25,0.443,0.343,0.435,0.285,800,0.088,0.095,346.454
26,0.481,0.298,0.391,0.249,840,0.09,0.094,338.673
27,0.483,0.265,0.409,0.202,880,0.09,0.094,336.094
28,0.503,0.285,0.406,0.221,920,0.091,0.094,340.794
29,0.49,0.284,0.397,0.221,960,0.09,0.095,342.257
30,0.502,0.251,0.35,0.195,1000,0.088,0.095,340.492
31,0.36,0.51,0.601,0.446,1536,0.088,0.096,368.609
32,0.214,0.74,0.815,0.679,3072,0.092,0.095,410.648
33,0.166,0.822,0.848,0.798,6144,0.094,0.094,535.394
