,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.962,0.369,0.235,0.91,128.0,261.16,0.5,0.085
1,0.433,0.518,0.391,0.774,168.0,288.278,0.389,0.085
2,0.377,0.535,0.426,0.731,208.0,293.908,0.33,0.085
3,0.304,0.662,0.548,0.838,248.0,286.337,0.306,0.085
4,0.188,0.741,0.714,0.772,288.0,295.37,0.289,0.084
5,0.187,0.749,0.674,0.862,328.0,298.21,0.292,0.083
6,0.254,0.506,0.476,0.539,368.0,292.814,0.284,0.082
7,0.179,0.738,0.727,0.75,401.333,304.33,0.287,0.08
8,0.239,0.521,0.488,0.561,441.333,311.211,0.288,0.079
9,0.151,0.789,0.773,0.813,474.667,304.238,0.297,0.077
10,0.259,0.514,0.506,0.523,514.667,301.946,0.304,0.075
11,0.153,0.825,0.804,0.848,548.0,313.619,0.316,0.072
12,0.128,0.824,0.834,0.815,588.0,313.273,0.309,0.071
13,0.159,0.749,0.719,0.786,628.0,321.073,0.311,0.069
14,0.148,0.762,0.727,0.808,668.0,318.803,0.307,0.068
15,0.13,0.814,0.82,0.808,708.0,314.706,0.303,0.067
16,0.308,0.258,0.28,0.238,748.0,319.151,0.305,0.065
17,0.236,0.558,0.553,0.563,774.667,324.323,0.307,0.063
18,0.137,0.82,0.765,0.891,808.0,325.264,0.306,0.062
19,0.143,0.831,0.807,0.86,848.0,335.109,0.3,0.061
20,0.221,0.525,0.494,0.566,888.0,328.63,0.3,0.059
21,0.22,0.552,0.532,0.575,921.333,333.381,0.301,0.057
