,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.418,0.074,0.163,0.048,200.0,200.0,235.978,0.083,0.094
1,0.43,0.063,0.254,0.036,268.0,234.0,262.05,0.115,0.093
2,0.45,0.217,0.45,0.149,348.0,274.0,261.301,0.155,0.09
3,0.433,0.275,0.592,0.185,428.0,314.0,259.831,0.182,0.088
4,0.331,0.458,0.648,0.358,508.0,354.0,267.551,0.22,0.083
5,0.281,0.589,0.654,0.537,588.0,394.0,260.774,0.25,0.078
6,0.249,0.651,0.737,0.589,668.0,434.0,271.674,0.269,0.073
7,0.256,0.642,0.75,0.573,748.0,474.0,267.268,0.29,0.067
8,0.23,0.685,0.71,0.661,828.0,514.0,274.312,0.302,0.062
9,0.24,0.692,0.732,0.658,908.0,554.0,277.99,0.307,0.057
10,0.245,0.67,0.748,0.61,988.0,594.0,284.977,0.311,0.053
11,0.228,0.697,0.746,0.655,1068.0,634.0,287.762,0.314,0.048
12,0.218,0.701,0.747,0.661,1148.0,674.0,294.8,0.319,0.043
13,0.204,0.731,0.787,0.686,1228.0,714.0,294.179,0.32,0.038
14,0.198,0.744,0.761,0.727,1308.0,754.0,296.444,0.325,0.032
15,0.167,0.776,0.817,0.739,1388.0,794.0,293.65,0.326,0.026
16,0.185,0.764,0.779,0.751,1468.0,834.0,309.791,0.327,0.021
17,0.204,0.739,0.738,0.741,1548.0,874.0,297.665,0.323,0.018
18,0.163,0.789,0.803,0.777,1628.0,914.0,308.292,0.314,0.015
19,0.194,0.762,0.747,0.782,1700.0,950.0,312.255,0.307,0.013
20,0.16,0.789,0.817,0.763,1773.333,986.667,317.761,0.301,0.012
