,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.003,0.0,0.0,0.0,10,0.0,0.0,6.956
1,0.047,0.0,0.0,0.0,20,0.029,0.0,3.93
2,0.005,0.0,0.0,0.0,40,0.014,0.0,11.51
3,0.008,0.0,0.0,0.0,60,0.017,0.0,6.241
4,0.02,0.0,0.0,0.0,80,0.031,0.0,6.5
5,0.057,0.0,0.0,0.0,100,0.035,0.001,6.15
6,0.018,0.006,0.058,0.003,120,0.03,0.001,10.666
7,0.045,0.012,0.162,0.008,140,0.022,0.001,14.155
8,0.029,0.04,0.103,0.032,160,0.011,0.0,5.727
9,0.06,0.052,0.061,0.04,180,0.008,0.0,6.241
10,0.086,0.071,0.174,0.045,200,0.008,0.0,7.693
11,0.057,0.014,0.068,0.003,240,0.015,0.001,8.477
12,0.054,0.069,0.07,0.063,280,0.014,0.001,18.506
13,0.027,0.025,0.1,0.015,320,0.012,0.001,8.423
14,0.054,0.079,0.117,0.058,360,0.008,0.0,0.371
15,0.055,0.072,0.157,0.047,400,0.013,0.001,9.573
16,0.041,0.042,0.078,0.029,440,0.011,0.001,11.746
17,0.04,0.065,0.162,0.042,480,0.009,0.001,16.912
18,0.02,0.086,0.14,0.061,520,0.007,0.001,8.803
19,0.063,0.044,0.079,0.03,560,0.008,0.001,9.462
20,0.067,0.072,0.092,0.057,600,0.008,0.001,5.051
21,0.073,0.054,0.093,0.039,640,0.008,0.001,4.618
22,0.013,0.032,0.067,0.027,680,0.006,0.001,6.706
23,0.059,0.068,0.064,0.061,720,0.005,0.001,12.013
24,0.03,0.013,0.116,0.019,760,0.004,0.001,17.493
25,0.122,0.167,0.171,0.157,800,0.004,0.001,19.066
26,0.068,0.092,0.042,0.114,840,0.003,0.0,17.196
27,0.067,0.098,0.071,0.099,880,0.004,0.001,14.615
28,0.012,0.029,0.019,0.034,920,0.005,0.001,9.458
29,0.036,0.021,0.016,0.021,960,0.007,0.001,9.112
30,0.044,0.067,0.095,0.052,1000,0.006,0.001,16.347
31,0.076,0.102,0.095,0.111,1536,0.008,0.003,6.978
32,0.022,0.037,0.017,0.058,3072,0.002,0.002,8.278
33,0.02,0.011,0.023,0.024,6144,0.0,0.0,28.218
