,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.255,0.08,0.068,0.039,128.0,6.811,0.0,0.0
1,0.038,0.083,0.079,0.055,168.0,2.865,0.003,0.0
2,0.104,0.123,0.128,0.076,208.0,6.327,0.006,0.0
3,0.026,0.035,0.048,0.033,248.0,2.97,0.004,0.0
4,0.042,0.049,0.047,0.067,288.0,8.543,0.016,0.001
5,0.053,0.047,0.122,0.062,328.0,3.954,0.027,0.002
6,0.131,0.442,0.417,0.471,368.0,1.266,0.02,0.001
7,0.038,0.072,0.06,0.093,401.333,18.613,0.018,0.002
8,0.167,0.452,0.43,0.486,441.333,3.284,0.01,0.001
9,0.012,0.034,0.098,0.04,474.667,8.199,0.019,0.001
10,0.211,0.447,0.442,0.454,514.667,0.28,0.033,0.002
11,0.011,0.009,0.01,0.018,548.0,11.883,0.044,0.003
12,0.008,0.005,0.035,0.038,588.0,7.409,0.033,0.002
13,0.03,0.094,0.125,0.058,628.0,18.665,0.022,0.001
14,0.011,0.023,0.08,0.049,668.0,8.325,0.028,0.002
15,0.024,0.013,0.022,0.005,708.0,6.014,0.019,0.001
16,0.148,0.446,0.486,0.413,748.0,11.037,0.015,0.001
17,0.169,0.483,0.48,0.488,774.667,12.974,0.022,0.002
18,0.005,0.055,0.1,0.024,808.0,3.602,0.027,0.003
19,0.025,0.05,0.087,0.014,848.0,9.241,0.02,0.003
20,0.099,0.459,0.441,0.491,888.0,6.32,0.018,0.002
21,0.174,0.479,0.461,0.498,921.333,11.658,0.012,0.002
