,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.086,0.071,0.174,0.045,200.0,200.0,9.859,0.008,0.0
1,0.03,0.039,0.149,0.023,268.0,234.0,3.246,0.012,0.001
2,0.051,0.124,0.104,0.093,348.0,274.0,9.836,0.014,0.001
3,0.059,0.131,0.142,0.098,428.0,314.0,3.1,0.014,0.001
4,0.024,0.084,0.042,0.09,508.0,354.0,9.192,0.012,0.002
5,0.022,0.007,0.033,0.026,588.0,394.0,5.643,0.006,0.002
6,0.02,0.053,0.029,0.093,668.0,434.0,7.715,0.009,0.001
7,0.01,0.043,0.069,0.104,748.0,474.0,8.654,0.007,0.001
8,0.021,0.006,0.017,0.015,828.0,514.0,7.108,0.008,0.0
9,0.038,0.035,0.011,0.067,908.0,554.0,8.618,0.005,0.001
10,0.065,0.102,0.084,0.122,988.0,594.0,4.735,0.008,0.001
11,0.007,0.013,0.014,0.027,1068.0,634.0,7.033,0.002,0.002
12,0.025,0.02,0.017,0.034,1148.0,674.0,8.706,0.002,0.002
13,0.029,0.036,0.014,0.066,1228.0,714.0,5.456,0.003,0.001
14,0.013,0.023,0.021,0.026,1308.0,754.0,7.048,0.002,0.002
15,0.007,0.01,0.019,0.018,1388.0,794.0,10.473,0.004,0.003
16,0.019,0.016,0.033,0.049,1468.0,834.0,4.415,0.004,0.002
17,0.047,0.081,0.104,0.065,1548.0,874.0,2.798,0.003,0.002
18,0.019,0.021,0.027,0.032,1628.0,914.0,10.717,0.001,0.003
19,0.056,0.053,0.094,0.016,1700.0,950.0,14.078,0.003,0.001
20,0.009,0.037,0.051,0.034,1773.333,986.667,4.738,0.009,0.001
