,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.343,0.0,0.0,0.0,10,0.033,0.107,330.117
1,0.423,0.0,0.0,0.0,20,0.083,0.107,332.608
2,0.348,0.0,0.0,0.0,40,0.1,0.107,342.192
3,0.36,0.0,0.0,0.0,60,0.1,0.107,331.529
4,0.37,0.0,0.0,0.0,80,0.096,0.107,335.307
5,0.431,0.013,0.034,0.008,100,0.103,0.107,340.63
6,0.406,0.003,0.03,0.002,120,0.097,0.107,335.237
7,0.44,0.057,0.146,0.036,140,0.107,0.107,343.947
8,0.434,0.024,0.062,0.015,160,0.11,0.107,345.625
9,0.412,0.05,0.163,0.031,180,0.107,0.107,337.494
10,0.471,0.067,0.153,0.044,200,0.103,0.107,340.932
11,0.496,0.069,0.16,0.045,240,0.1,0.108,349.734
12,0.516,0.139,0.207,0.107,280,0.102,0.108,361.189
13,0.536,0.1,0.205,0.068,320,0.102,0.108,361.618
14,0.513,0.156,0.258,0.117,360,0.106,0.107,363.528
15,0.537,0.13,0.223,0.092,400,0.102,0.108,364.966
16,0.543,0.137,0.252,0.1,440,0.102,0.108,369.041
17,0.507,0.235,0.379,0.172,480,0.098,0.108,379.971
18,0.477,0.278,0.376,0.223,520,0.099,0.108,372.855
19,0.502,0.283,0.359,0.235,560,0.103,0.108,370.664
20,0.365,0.445,0.55,0.377,600,0.103,0.108,381.728
21,0.402,0.415,0.506,0.358,640,0.102,0.108,379.952
22,0.371,0.44,0.594,0.359,680,0.103,0.108,382.739
23,0.417,0.367,0.505,0.293,720,0.104,0.108,381.854
24,0.324,0.548,0.619,0.5,760,0.104,0.108,382.204
25,0.301,0.565,0.676,0.485,800,0.106,0.107,387.323
26,0.31,0.532,0.62,0.485,840,0.105,0.108,386.281
27,0.378,0.461,0.602,0.379,880,0.105,0.108,390.227
28,0.269,0.655,0.689,0.625,920,0.105,0.108,382.537
29,0.297,0.602,0.689,0.537,960,0.106,0.107,392.663
30,0.289,0.659,0.738,0.595,1000,0.106,0.108,391.523
31,0.239,0.72,0.762,0.683,1435,0.106,0.108,415.665
32,0.206,0.788,0.842,0.743,2871,0.105,0.11,466.164
33,0.177,0.838,0.855,0.822,5743,0.107,0.107,593.596
