,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.333,0.559,0.446,0.777,128.0,288.677,0.5,0.098
1,0.324,0.636,0.555,0.756,168.0,328.313,0.431,0.098
2,0.255,0.652,0.607,0.715,208.0,331.55,0.391,0.097
3,0.328,0.492,0.494,0.492,248.0,333.204,0.38,0.095
4,0.163,0.776,0.786,0.777,281.333,346.219,0.388,0.093
5,0.215,0.632,0.617,0.652,321.333,341.097,0.375,0.091
6,0.168,0.779,0.75,0.817,361.333,341.919,0.376,0.089
7,0.123,0.815,0.843,0.79,401.333,345.604,0.368,0.088
8,0.388,0.289,0.28,0.298,441.333,354.879,0.372,0.085
9,0.108,0.854,0.863,0.851,468.0,353.676,0.369,0.084
10,0.246,0.575,0.583,0.568,508.0,355.973,0.365,0.082
11,0.238,0.578,0.608,0.552,541.333,361.822,0.367,0.08
12,0.233,0.573,0.59,0.557,574.667,360.884,0.368,0.078
13,0.102,0.871,0.916,0.832,608.0,359.057,0.373,0.076
14,0.139,0.574,0.586,0.563,648.0,362.067,0.378,0.073
15,0.093,0.883,0.903,0.866,681.333,367.98,0.385,0.07
16,0.076,0.905,0.924,0.887,721.333,369.39,0.389,0.067
17,0.235,0.583,0.6,0.566,761.333,372.149,0.395,0.063
18,0.085,0.886,0.886,0.887,794.667,373.657,0.398,0.061
19,0.123,0.832,0.853,0.814,834.667,369.518,0.399,0.058
20,0.267,0.575,0.583,0.568,874.667,384.401,0.401,0.054
21,0.226,0.599,0.606,0.592,908.0,381.238,0.398,0.053
