,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.471,0.067,0.153,0.044,200.0,200.0,264.981,0.103,0.107
1,0.489,0.021,0.195,0.011,280.0,240.0,291.878,0.106,0.107
2,0.441,0.203,0.431,0.133,360.0,280.0,296.936,0.134,0.106
3,0.385,0.325,0.463,0.256,428.667,314.333,320.688,0.177,0.102
4,0.34,0.486,0.751,0.382,506.667,353.333,301.78,0.215,0.098
5,0.299,0.621,0.689,0.578,586.667,393.333,301.895,0.267,0.09
6,0.293,0.637,0.713,0.586,666.667,433.333,310.963,0.289,0.084
7,0.247,0.69,0.772,0.629,746.667,473.333,309.427,0.305,0.079
8,0.227,0.731,0.787,0.686,826.667,513.333,320.548,0.323,0.072
9,0.238,0.701,0.764,0.649,906.667,553.333,312.534,0.337,0.065
10,0.193,0.763,0.802,0.728,986.667,593.333,318.659,0.347,0.059
11,0.193,0.768,0.8,0.738,1066.667,633.333,326.564,0.357,0.052
12,0.185,0.779,0.802,0.759,1146.667,673.333,327.376,0.362,0.045
13,0.18,0.799,0.814,0.785,1226.667,713.333,324.878,0.365,0.039
14,0.165,0.806,0.819,0.793,1306.667,753.333,327.204,0.368,0.032
15,0.159,0.817,0.824,0.811,1386.667,793.333,346.722,0.371,0.025
16,0.17,0.818,0.835,0.803,1466.667,833.333,339.721,0.373,0.018
17,0.167,0.814,0.829,0.799,1546.667,873.333,336.811,0.371,0.012
18,0.156,0.823,0.849,0.799,1610.0,905.0,349.437,0.367,0.009
19,0.155,0.826,0.837,0.817,1666.0,933.0,352.308,0.358,0.008
20,0.16,0.831,0.852,0.811,1723.333,961.667,346.761,0.348,0.008
