,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.006,0.0,0.0,0.0,10,0.058,0.0,28.665
1,0.108,0.0,0.0,0.0,20,0.076,0.0,17.582
2,0.011,0.0,0.0,0.0,40,0.025,0.0,4.893
3,0.005,0.0,0.0,0.0,60,0.017,0.0,13.116
4,0.009,0.0,0.0,0.0,80,0.026,0.0,18.713
5,0.043,0.023,0.059,0.014,100,0.012,0.0,15.639
6,0.074,0.005,0.052,0.003,120,0.019,0.0,14.267
7,0.034,0.012,0.042,0.007,140,0.007,0.0,15.314
8,0.011,0.041,0.108,0.025,160,0.013,0.0,15.002
9,0.035,0.035,0.018,0.023,180,0.006,0.0,15.599
10,0.038,0.015,0.012,0.013,200,0.013,0.0,14.235
11,0.01,0.038,0.038,0.028,240,0.008,0.0,17.028
12,0.044,0.006,0.031,0.017,280,0.007,0.0,27.509
13,0.045,0.016,0.044,0.017,320,0.009,0.001,17.731
14,0.051,0.079,0.086,0.067,360,0.008,0.001,19.877
15,0.041,0.02,0.053,0.013,400,0.004,0.0,12.819
16,0.043,0.019,0.104,0.028,440,0.007,0.001,16.952
17,0.096,0.132,0.233,0.091,480,0.004,0.0,6.075
18,0.12,0.202,0.237,0.176,520,0.009,0.001,5.668
19,0.141,0.205,0.259,0.17,560,0.008,0.001,3.374
20,0.066,0.161,0.195,0.149,600,0.009,0.001,1.069
21,0.105,0.212,0.281,0.184,640,0.008,0.001,10.06
22,0.078,0.18,0.15,0.182,680,0.007,0.001,14.435
23,0.073,0.218,0.23,0.198,720,0.005,0.001,3.349
24,0.055,0.154,0.09,0.184,760,0.009,0.001,1.8
25,0.035,0.057,0.073,0.047,800,0.009,0.001,6.697
26,0.088,0.201,0.1,0.236,840,0.011,0.002,18.359
27,0.04,0.142,0.121,0.148,880,0.01,0.002,30.533
28,0.017,0.025,0.016,0.036,920,0.012,0.002,22.39
29,0.016,0.087,0.053,0.105,960,0.01,0.002,26.679
30,0.007,0.014,0.021,0.028,1000,0.008,0.002,30.511
31,0.009,0.022,0.021,0.027,1435,0.006,0.002,28.207
32,0.02,0.018,0.049,0.022,2871,0.004,0.004,21.244
33,0.019,0.024,0.008,0.039,5743,0.0,0.0,41.653
