,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.119,0.065,0.096,0.063,128.0,12.808,0.0,0.0
1,0.08,0.077,0.102,0.058,168.0,1.012,0.024,0.001
2,0.04,0.091,0.125,0.08,208.0,1.901,0.024,0.001
3,0.213,0.428,0.428,0.432,248.0,1.598,0.014,0.001
4,0.035,0.038,0.107,0.055,281.333,3.738,0.025,0.001
5,0.114,0.281,0.286,0.287,321.333,3.535,0.027,0.001
6,0.043,0.032,0.059,0.087,361.333,8.619,0.04,0.002
7,0.02,0.028,0.042,0.044,401.333,1.928,0.026,0.002
8,0.253,0.5,0.485,0.516,441.333,9.103,0.023,0.002
9,0.003,0.013,0.052,0.075,468.0,7.281,0.011,0.0
10,0.25,0.498,0.505,0.494,508.0,5.904,0.016,0.0
11,0.263,0.501,0.527,0.478,541.333,3.402,0.014,0.001
12,0.228,0.496,0.511,0.482,574.667,2.488,0.014,0.003
13,0.016,0.017,0.02,0.047,608.0,6.647,0.017,0.003
14,0.064,0.497,0.508,0.489,648.0,5.521,0.019,0.003
15,0.017,0.025,0.022,0.061,681.333,9.505,0.03,0.003
16,0.017,0.017,0.026,0.012,721.333,6.791,0.029,0.004
17,0.246,0.505,0.52,0.491,761.333,7.3,0.029,0.004
18,0.01,0.024,0.049,0.028,794.667,13.521,0.035,0.005
19,0.044,0.065,0.102,0.032,834.667,14.961,0.032,0.005
20,0.287,0.498,0.505,0.492,874.667,5.068,0.027,0.005
21,0.263,0.519,0.525,0.513,908.0,12.621,0.025,0.004
