,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.038,0.015,0.012,0.013,200.0,200.0,6.999,0.013,0.0
1,0.042,0.014,0.156,0.007,280.0,240.0,11.522,0.009,0.0
2,0.006,0.184,0.385,0.121,360.0,280.0,3.113,0.03,0.002
3,0.083,0.289,0.359,0.233,428.667,314.333,37.604,0.06,0.005
4,0.073,0.187,0.083,0.211,506.667,353.333,5.057,0.061,0.007
5,0.078,0.087,0.039,0.153,586.667,393.333,1.923,0.042,0.006
6,0.036,0.063,0.033,0.113,666.667,433.333,4.467,0.026,0.005
7,0.013,0.032,0.05,0.07,746.667,473.333,5.777,0.025,0.005
8,0.014,0.024,0.035,0.063,826.667,513.333,9.188,0.028,0.006
9,0.019,0.044,0.044,0.056,906.667,553.333,10.058,0.024,0.006
10,0.018,0.01,0.032,0.013,986.667,593.333,6.801,0.023,0.006
11,0.014,0.021,0.023,0.029,1066.667,633.333,11.392,0.019,0.006
12,0.023,0.013,0.015,0.037,1146.667,673.333,4.489,0.015,0.006
13,0.009,0.012,0.022,0.006,1226.667,713.333,6.299,0.018,0.007
14,0.013,0.002,0.007,0.003,1306.667,753.333,4.143,0.015,0.006
15,0.01,0.026,0.032,0.026,1386.667,793.333,3.755,0.015,0.006
16,0.014,0.025,0.011,0.04,1466.667,833.333,9.609,0.01,0.006
17,0.011,0.009,0.021,0.007,1546.667,873.333,3.262,0.007,0.004
18,0.012,0.012,0.012,0.012,1610.0,905.0,5.465,0.004,0.002
19,0.004,0.009,0.018,0.02,1666.0,933.0,11.993,0.001,0.001
20,0.013,0.012,0.021,0.018,1723.333,961.667,2.215,0.003,0.001
