,test_loss,test_prec,test_recall,test_f1,labeled_instances,positive_rate,iteration_time
50,0.315595239400864,0,0,0,50,0.14,122.693163156509
75,0.352209806442261,0.288732394366197,0.175213675213675,0.218085106382979,75,0.133333333333333,121.94064950943
100,0.361636191606522,0.333333333333333,0.068376068376068,0.113475177304965,100,0.12,128.113387346268
120,0.409229040145874,0.247191011235955,0.094017094017094,0.136222910216718,120,0.116666666666667,128.072653055191
140,0.406942427158356,0.571428571428571,0.017094017094017,0.033195020746888,140,0.128571428571429,135.474428415298
160,0.358171582221985,0.551181102362205,0.299145299145299,0.387811634349031,160,0.1375,140.770551681519
180,0.303845405578613,0.416666666666667,0.042735042735043,0.077519379844961,180,0.127777777777778,137.472890615463
200,0.326568990945816,0.462046204620462,0.598290598290598,0.521415270018622,200,0.145,145.124104738235
250,0.343118935823441,0.564971751412429,0.427350427350427,0.48661800486618,250,0.148,143.675585269928
300,0.356083899736404,0.561224489795918,0.47008547008547,0.511627906976744,300,0.136666666666667,154.30313873291
400,0.343159943819046,0.5625,0.5,0.529411764705882,400,0.1225,151.798562049866
500,0.362924724817276,0.56353591160221,0.435897435897436,0.491566265060241,500,0.112,166.60383105278
600,0.378318428993225,0.53960396039604,0.465811965811966,0.5,600,0.106666666666667,159.604104280472
700,0.41448312997818,0.569060773480663,0.44017094017094,0.496385542168675,700,0.102857142857143,162.855814695358
800,0.341711044311523,0.679012345679012,0.47008547008547,0.555555555555555,800,0.10625,174.868973970413
900,0.360014289617538,0.597345132743363,0.576923076923077,0.58695652173913,900,0.107777777777778,172.702069044113
1000,0.33956041932106,0.617117117117117,0.585470085470085,0.600877192982456,1000,0.105,163.222781896591
1100,0.401915401220322,0.582568807339449,0.542735042735043,0.561946902654867,1100,0.11,181.880529642105
1200,0.343582212924957,0.654639175257732,0.542735042735043,0.593457943925234,1200,0.110833333333333,182.285247087479
1300,0.331472039222717,0.653658536585366,0.572649572649573,0.610478359908884,1300,0.108461538461538,184.530780792236
1400,0.329250991344452,0.639024390243902,0.55982905982906,0.596810933940775,1400,0.105714285714286,185.257070302963
1500,0.326568484306335,0.681592039800995,0.585470085470085,0.629885057471264,1500,0.106,189.309109687805
2000,0.343650907278061,0.661835748792271,0.585470085470085,0.621315192743764,2000,0.107,206.6538169384
6874,0.278122127056122,0.758974358974359,0.632478632478632,0.68997668997669,6874,0.101687518184463,339.13248872757
