,test_loss,test_prec,test_recall,test_f1,positive_rate,labeled_instances,iteration_time
50,0.512728333473206,0.148883374689826,0.621761658031088,0.24024024024024,0.42,50,141.734025478363
75,0.379836589097977,0.223938223938224,0.300518134715026,0.256637168141593,0.44,75,127.74534368515
100,0.563583076000214,0.210237659963437,0.595854922279793,0.310810810810811,0.46,100,134.785411834717
120,0.671782851219177,0.182258064516129,0.585492227979275,0.277982779827798,0.475,120,136.925023317337
140,0.539539396762848,0.277777777777778,0.518134715025907,0.361663652802893,0.457142857142857,140,141.766662120819
160,0.626584112644196,0.2,0.466321243523316,0.279937791601866,0.45625,160,145.968237161636
180,0.593652307987213,0.2525,0.523316062176166,0.340640809443508,0.455555555555556,180,148.296293020248
200,0.366818904876709,0.328467153284671,0.466321243523316,0.385438972162741,0.455,200,153.037109136581
250,0.476470649242401,0.307167235494881,0.466321243523316,0.37037037037037,0.468,250,158.564574956894
300,0.506100833415985,0.329192546583851,0.549222797927461,0.411650485436893,0.47,300,167.628544569016
400,0.605438351631165,0.302107728337237,0.66839378238342,0.416129032258065,0.4875,400,181.65304517746
500,0.649426758289337,0.281188118811881,0.735751295336788,0.406876790830946,0.508,500,183.739084482193
600,0.765478789806366,0.304832713754647,0.849740932642487,0.448700410396717,0.518333333333333,600,194.035115718842
700,0.737900018692017,0.332657200811359,0.849740932642487,0.478134110787172,0.518571428571429,700,236.045077323914
800,0.630260288715363,0.366197183098592,0.808290155440414,0.504038772213247,0.51875,800,216.428409337997
900,0.438340067863464,0.428176795580111,0.803108808290155,0.558558558558558,0.47,900,228.601175308228
1000,0.437311857938767,0.452722063037249,0.818652849740933,0.583025830258303,0.439,1000,229.953978538513
1100,0.349379777908325,0.472140762463343,0.83419689119171,0.602996254681648,0.408181818181818,1100,245.567176103592
1200,0.25005841255188,0.568904593639576,0.83419689119171,0.676470588235294,0.381666666666667,1200,250.089763402939
1300,0.233884513378143,0.636,0.823834196891192,0.71783295711061,0.358461538461538,1300,271.552900791168
1400,0.251376092433929,0.633858267716535,0.83419689119171,0.720357941834452,0.34,1400,277.309249162674
1500,0.280851244926453,0.591760299625468,0.818652849740933,0.68695652173913,0.324666666666667,1500,299.015490293503
2000,0.235463589429855,0.67965367965368,0.813471502590673,0.740566037735849,0.2545,2000,351.630622386932
