,test_loss,test_prec,test_recall,test_f1,labeled_instances,positive_rate,iteration_time
50,0.304013013839722,0,0,0,50,0.14,120.504134654999
75,0.390825301408768,0.131578947368421,0.025906735751295,0.043290043290043,75,0.106666666666667,128.334541320801
100,0.41472139954567,0.5,0.010362694300518,0.020304568527919,100,0.1,136.9062936306
120,0.456222593784332,0.3,0.031088082901554,0.056338028169014,120,0.091666666666667,141.292503118515
140,0.356431901454926,0,0,0,140,0.092857142857143,144.339904069901
160,0.380914181470871,0.5,0.005181347150259,0.01025641025641,160,0.09375,148.242959737778
180,0.315584391355515,0.214285714285714,0.031088082901554,0.054298642533937,180,0.1,150.335149049759
200,0.41774582862854,0.230769230769231,0.139896373056995,0.174193548387097,200,0.115,155.430706977844
250,0.408154398202896,0.235849056603774,0.129533678756477,0.167224080267559,250,0.116,161.40115237236
300,0.430406868457794,0.28,0.145077720207254,0.191126279863481,300,0.12,158.86376452446
400,0.460458219051361,0.364705882352941,0.160621761658031,0.223021582733813,400,0.115,181.624292135239
500,0.445625692605972,0.292307692307692,0.098445595854922,0.147286821705426,500,0.114,181.708873748779
600,0.405877232551575,0.43452380952381,0.378238341968912,0.404432132963989,600,0.108333333333333,205.81983423233
700,0.421622067689896,0.351851851851852,0.295336787564767,0.32112676056338,700,0.105714285714286,199.756696939468
800,0.424325197935104,0.420382165605096,0.341968911917098,0.377142857142857,800,0.1025,213.832653522491
900,0.479196548461914,0.406015037593985,0.27979274611399,0.331288343558282,900,0.094444444444445,218.086833953857
1000,0.460009813308716,0.47244094488189,0.310880829015544,0.375,1000,0.093,233.960111379623
1100,0.360046148300171,0.604651162790698,0.404145077720207,0.484472049689441,1100,0.092727272727273,233.240644216537
1200,0.472530126571655,0.5625,0.326424870466321,0.413114754098361,1200,0.0925,259.741073608398
1300,0.403586983680725,0.511278195488722,0.352331606217617,0.417177914110429,1300,0.096153846153846,258.016676664352
1400,0.302678525447845,0.727941176470588,0.512953367875648,0.601823708206687,1400,0.094285714285714,288.815048217773
1500,0.314782530069351,0.653061224489796,0.49740932642487,0.564705882352941,1500,0.097333333333333,297.147554397583
2000,0.295581668615341,0.706293706293706,0.523316062176166,0.601190476190476,2000,0.097,343.407310962677
6144,0.185127288103104,0.834285714285714,0.756476683937824,0.793478260869565,6144,0.09375,692.654054164886
