,test_loss,test_prec,test_recall,test_f1,positive_rate
100,0.2595154643058777,0.0,0.0,0.0,0.22
150,0.2508328855037689,0.45454545454545453,0.49145299145299143,0.4722792607802874,0.20666666666666667
200,0.26204919815063477,0.5137931034482759,0.6367521367521367,0.5687022900763359,0.245
250,0.2916898727416992,0.5446808510638298,0.5470085470085471,0.5458422174840084,0.288
300,0.3445644676685333,0.5445205479452054,0.6794871794871795,0.6045627376425856,0.30666666666666664
350,0.26745888590812683,0.5702479338842975,0.5897435897435898,0.5798319327731093,0.3314285714285714
400,0.3174668252468109,0.6282722513089005,0.5128205128205128,0.5647058823529411,0.3325
450,0.25737059116363525,0.6619047619047619,0.594017094017094,0.6261261261261261,0.3488888888888889
500,0.3083343803882599,0.6255924170616114,0.5641025641025641,0.5932584269662922,0.358
600,0.31950628757476807,0.6330275229357798,0.5897435897435898,0.6106194690265486,0.38
700,0.26937729120254517,0.6839622641509434,0.6196581196581197,0.6502242152466368,0.38857142857142857
800,0.30884459614753723,0.6602870813397129,0.5897435897435898,0.6230248306997742,0.36625
900,0.31309354305267334,0.7043010752688172,0.5598290598290598,0.6238095238095238,0.34444444444444444
1000,0.286532998085022,0.6919431279620853,0.6239316239316239,0.6561797752808989,0.33
1100,0.32394564151763916,0.7268041237113402,0.6025641025641025,0.6588785046728971,0.3109090909090909
1200,0.2820214331150055,0.7407407407407407,0.5982905982905983,0.6619385342789598,0.30333333333333334
1300,0.2809928059577942,0.6824644549763034,0.6153846153846154,0.6471910112359551,0.2946153846153846
1400,0.30192020535469055,0.7142857142857143,0.6196581196581197,0.6636155606407322,0.2814285714285714
1500,0.2573905885219574,0.6883720930232559,0.6324786324786325,0.6592427616926503,0.2713333333333333
2000,0.27853235602378845,0.7177033492822966,0.6410256410256411,0.6772009029345373,0.241
