,test_loss,test_prec,test_recall,test_f1,positive_rate,labeled_instances,iteration_time
50,0.3302960693836212,0.28846153846153844,0.0641025641025641,0.1048951048951049,0.22,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",138.44271039962769
75,0.3053939938545227,0.3023255813953488,0.05555555555555555,0.09386281588447652,0.24,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",125.5369279384613
100,0.3614640235900879,0.3125,0.10683760683760683,0.1592356687898089,0.22,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",124.97104477882385
120,0.40969565510749817,0.42592592592592593,0.09829059829059829,0.15972222222222224,0.20833333333333334,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",132.24370551109314
140,0.38160404562950134,0.3,0.038461538461538464,0.06818181818181818,0.18571428571428572,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",132.86824417114258
160,0.372687965631485,0.40625,0.1111111111111111,0.17449664429530198,0.2,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",137.96184158325195
180,0.3272465765476227,0.3229166666666667,0.26495726495726496,0.2910798122065728,0.21666666666666667,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",147.95433926582336
200,0.29361584782600403,0.5182481751824818,0.3034188034188034,0.38274932614555257,0.245,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",139.65127730369568
250,0.43403708934783936,0.3619402985074627,0.41452991452991456,0.38645418326693226,0.288,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",140.11769008636475
300,0.34972524642944336,0.47619047619047616,0.5128205128205128,0.49382716049382713,0.30666666666666664,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",147.73559665679932
400,0.3300358057022095,0.5769230769230769,0.5128205128205128,0.5429864253393665,0.3325,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",146.45553636550903
500,0.289955735206604,0.5778688524590164,0.6025641025641025,0.5899581589958159,0.358,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",160.56459259986877
600,0.3013821840286255,0.625,0.6196581196581197,0.6223175965665236,0.38,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",158.5047595500946
700,0.2926885783672333,0.6468085106382979,0.6495726495726496,0.6481876332622603,0.38857142857142857,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",166.05866742134094
800,0.3111199736595154,0.6829268292682927,0.5982905982905983,0.6378132118451025,0.36625,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",159.25286197662354
900,0.3036523759365082,0.62882096069869,0.6153846153846154,0.6220302375809935,0.34444444444444444,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",167.25515699386597
1000,0.3145279288291931,0.5846153846153846,0.6495726495726496,0.6153846153846154,0.33,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",177.4944245815277
1100,0.2677750885486603,0.6610169491525424,0.6666666666666666,0.6638297872340426,0.3109090909090909,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",173.13246154785156
1200,0.2986512780189514,0.6923076923076923,0.5769230769230769,0.6293706293706293,0.30333333333333334,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",172.49045419692993
1300,0.3041587173938751,0.6826923076923077,0.6068376068376068,0.6425339366515838,0.2946153846153846,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",173.66010761260986
1400,0.28622162342071533,0.6952380952380952,0.6239316239316239,0.6576576576576577,0.2814285714285714,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",178.93109941482544
1500,0.3038763701915741,0.6425531914893617,0.6452991452991453,0.6439232409381663,0.2713333333333333,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",176.05086493492126
2000,0.28800299763679504,0.6816143497757847,0.6495726495726496,0.6652078774617067,0.241,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",192.51953601837158
