,test_loss,test_prec,test_recall,test_f1,positive_rate
100,0.3001784086227417,0.2777777777777778,0.021367521367521368,0.03968253968253969,0.12
150,0.31581538915634155,0.5546875,0.3034188034188034,0.39226519337016574,0.14
200,0.23845131695270538,0.5952380952380952,0.42735042735042733,0.49751243781094534,0.145
250,0.3637653887271881,0.5540540540540541,0.5256410256410257,0.5394736842105263,0.148
300,0.3363654613494873,0.639344262295082,0.5,0.5611510791366907,0.13666666666666666
350,0.3580995202064514,0.5304347826086957,0.5213675213675214,0.5258620689655173,0.13428571428571429
400,0.3289810121059418,0.6192660550458715,0.5769230769230769,0.5973451327433628,0.1225
450,0.3426976501941681,0.5708154506437768,0.5683760683760684,0.569593147751606,0.11555555555555555
500,0.43486830592155457,0.5217391304347826,0.5641025641025641,0.5420944558521561,0.112
600,0.33679598569869995,0.6457142857142857,0.4829059829059829,0.5525672371638142,0.10666666666666667
700,0.39585086703300476,0.650887573964497,0.4700854700854701,0.5459057071960298,0.10285714285714286
800,0.3391905426979065,0.6428571428571429,0.5384615384615384,0.586046511627907,0.10625
900,0.4014853835105896,0.6815286624203821,0.45726495726495725,0.547314578005115,0.10777777777777778
1000,0.4101971983909607,0.6647727272727273,0.5,0.5707317073170732,0.105
1100,0.34905117750167847,0.6632124352331606,0.5470085470085471,0.5995316159250587,0.11
1200,0.31350547075271606,0.6889952153110048,0.6153846153846154,0.6501128668171557,0.11083333333333334
1300,0.38635551929473877,0.5244444444444445,0.5042735042735043,0.514161220043573,0.10846153846153846
1400,0.36895981431007385,0.6802325581395349,0.5,0.5763546798029557,0.10571428571428572
1500,0.3953951597213745,0.6567164179104478,0.5641025641025641,0.606896551724138,0.106
2000,0.39745843410491943,0.65625,0.6282051282051282,0.6419213973799126,0.107
6874,0.2478180080652237,0.7684729064039408,0.6666666666666666,0.7139588100686499,0.1016875181844632
