,test_loss,test_prec,test_recall,test_f1,labeled_instances,positive_rate,iteration_time
50,0.31559523940086365,0.0,0.0,0.0,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",0.14,122.6931631565094
75,0.35220980644226074,0.2887323943661972,0.1752136752136752,0.2180851063829787,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",0.13333333333333333,121.94064950942993
100,0.3616361916065216,0.3333333333333333,0.06837606837606838,0.11347517730496454,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",0.12,128.1133873462677
120,0.409229040145874,0.24719101123595505,0.09401709401709402,0.13622291021671826,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",0.11666666666666667,128.07265305519104
140,0.4069424271583557,0.5714285714285714,0.017094017094017096,0.03319502074688797,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",0.12857142857142856,135.47442841529846
160,0.35817158222198486,0.5511811023622047,0.29914529914529914,0.38781163434903054,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",0.1375,140.77055168151855
180,0.3038454055786133,0.4166666666666667,0.042735042735042736,0.07751937984496124,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",0.12777777777777777,137.47289061546326
200,0.32656899094581604,0.46204620462046203,0.5982905982905983,0.521415270018622,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",0.145,145.12410473823547
250,0.34311893582344055,0.5649717514124294,0.42735042735042733,0.48661800486618007,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",0.148,143.67558526992798
300,0.3560838997364044,0.5612244897959183,0.4700854700854701,0.5116279069767442,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",0.13666666666666666,154.30313873291016
