,test_loss,test_prec,test_recall,test_f1,labeled_instances,positive_rate,iteration_time
50,0.2687983512878418,0.0,0.0,0.0,50.0,0.14,106.54506278038025
75,0.33414971828460693,0.08333333333333333,0.004273504273504274,0.008130081300813009,75.0,0.13333333333333333,112.62934803962708
100,0.35332366824150085,0.0,0.0,0.0,100.0,0.12,116.37505722045898
120,0.30100691318511963,0.6170212765957447,0.12393162393162394,0.20640569395017794,120.0,0.11666666666666667,121.93811011314392
140,0.30412623286247253,0.4787234042553192,0.19230769230769232,0.27439024390243905,140.0,0.12857142857142856,123.03810286521912
160,0.330917626619339,0.5198019801980198,0.44871794871794873,0.48165137614678905,160.0,0.1375,125.47310781478882
180,0.2934545874595642,0.5978835978835979,0.4829059829059829,0.5342789598108747,180.0,0.12777777777777777,128.87156128883362
200,0.32736751437187195,0.5344129554655871,0.5641025641025641,0.548856548856549,200.0,0.145,131.9908275604248
250,0.25609609484672546,0.5707317073170731,0.5,0.5330296127562641,250.0,0.148,134.99613761901855
300,0.3696691393852234,0.6276595744680851,0.5042735042735043,0.5592417061611373,300.0,0.13666666666666666,139.6619188785553
400,0.336448073387146,0.599009900990099,0.5170940170940171,0.555045871559633,400.0,0.1225,147.40477013587952
500,0.3696042597293854,0.5380952380952381,0.4829059829059829,0.509009009009009,500.0,0.112,155.4888415336609
600,0.3493446111679077,0.5463917525773195,0.452991452991453,0.49532710280373826,600.0,0.10666666666666667,153.15401816368103
700,0.3801650106906891,0.5487804878048781,0.5769230769230769,0.5625,700.0,0.10285714285714286,159.79384303092957
800,0.39408379793167114,0.6457142857142857,0.4829059829059829,0.5525672371638142,800.0,0.10625,193.131906747818
900,0.3080907166004181,0.651685393258427,0.49572649572649574,0.5631067961165049,900.0,0.10777777777777778,166.94240617752075
1000,0.3618967831134796,0.6608187134502924,0.4829059829059829,0.5580246913580247,1000.0,0.105,182.5958263874054
1100,0.4260765016078949,0.6585365853658537,0.46153846153846156,0.542713567839196,1100.0,0.11,187.14008045196533
1200,0.3619605600833893,0.6367713004484304,0.6068376068376068,0.6214442013129102,1200.0,0.11083333333333334,185.21818614006042
1300,0.35581067204475403,0.6238532110091743,0.5811965811965812,0.6017699115044248,1300.0,0.10846153846153846,197.96691727638245
1400,0.37188535928726196,0.6411483253588517,0.5726495726495726,0.6049661399548533,1400.0,0.10571428571428572,195.53334832191467
1500,0.30780115723609924,0.5966850828729282,0.46153846153846156,0.5204819277108435,1500.0,0.106,191.61917805671692
2000,0.30980759859085083,0.6811594202898551,0.6025641025641025,0.6394557823129252,2000.0,0.107,213.3982126712799
6874,0.22595560550689697,0.8,0.6666666666666666,0.7272727272727272,6874.0,0.1016875181844632,429.32416224479675
