,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.307,0.0,0.0,0.0,50,0.124,0.102,230.499
1,0.343,0.018,0.138,0.009,75,0.093,0.102,189.699
2,0.318,0.23,0.35,0.186,100,0.128,0.101,201.421
3,0.352,0.225,0.222,0.236,120,0.095,0.102,240.142
4,0.352,0.433,0.555,0.371,140,0.12,0.101,245.467
5,0.39,0.248,0.384,0.214,160,0.104,0.102,200.389
6,0.368,0.435,0.412,0.473,180,0.116,0.101,213.035
7,0.365,0.37,0.481,0.321,200,0.111,0.101,201.537
8,0.419,0.444,0.573,0.374,250,0.108,0.101,225.785
9,0.38,0.476,0.467,0.492,300,0.099,0.102,234.387
10,0.383,0.428,0.445,0.414,400,0.102,0.102,258.531
11,0.406,0.369,0.427,0.332,500,0.096,0.102,247.494
12,0.395,0.412,0.502,0.356,600,0.096,0.102,276.516
13,0.355,0.492,0.588,0.433,700,0.103,0.102,304.912
14,0.355,0.545,0.592,0.507,800,0.102,0.102,346.895
15,0.316,0.585,0.647,0.534,900,0.098,0.102,384.795
16,0.361,0.517,0.595,0.459,1000,0.104,0.101,368.496
17,0.256,0.708,0.766,0.659,6874,0.102,0.102,1125.716
