,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.303,0.0,0.0,0.0,0.22,0.101,50,221.137
1,0.306,0.086,0.193,0.079,0.24,0.1,75,237.017
2,0.319,0.077,0.201,0.048,0.22,0.1,100,182.279
3,0.316,0.189,0.402,0.146,0.208,0.1,120,217.935
4,0.352,0.164,0.322,0.121,0.186,0.1,140,253.617
5,0.316,0.408,0.469,0.377,0.2,0.099,160,212.082
6,0.306,0.456,0.528,0.412,0.217,0.099,180,296.187
7,0.313,0.501,0.513,0.506,0.245,0.097,200,262.719
8,0.337,0.554,0.517,0.601,0.288,0.095,250,290.165
9,0.316,0.574,0.564,0.597,0.307,0.093,300,265.3
10,0.293,0.568,0.652,0.507,0.332,0.088,400,256.352
11,0.289,0.6,0.617,0.588,0.358,0.082,500,278.415
12,0.316,0.595,0.66,0.544,0.38,0.075,600,271.945
13,0.301,0.633,0.689,0.586,0.389,0.069,700,375.51
14,0.292,0.636,0.685,0.595,0.366,0.068,800,324.422
15,0.322,0.644,0.676,0.615,0.344,0.066,900,349.713
16,0.31,0.649,0.675,0.626,0.33,0.065,1000,371.434
