,test_loss,test_prec,test_recall,test_f1,positive_rate
100,0.05867653340101242,0.9541284403669725,0.9369369369369369,0.9454545454545454,0.46
150,0.03331533446907997,0.9583333333333334,0.9842342342342343,0.9711111111111111,0.4666666666666667
200,0.04401302710175514,0.9580573951434879,0.9774774774774775,0.967670011148272,0.49
250,0.04720120504498482,0.976905311778291,0.9527027027027027,0.9646522234891676,0.48
300,0.039724208414554596,0.9501084598698482,0.9864864864864865,0.9679558011049725,0.4766666666666667
350,0.041662584990262985,0.9624724061810155,0.9819819819819819,0.972129319955407,0.4685714285714286
400,0.045779772102832794,0.967032967032967,0.990990990990991,0.978865406006674,0.465
450,0.01998702995479107,0.9821428571428571,0.990990990990991,0.9865470852017937,0.46
500,0.021748000755906105,0.9887387387387387,0.9887387387387387,0.9887387387387387,0.46
600,0.019443336874246597,0.9776286353467561,0.9842342342342343,0.9809203142536477,0.4633333333333333
700,0.025575729086995125,0.9713024282560706,0.990990990990991,0.9810479375696767,0.46285714285714286
800,0.013192901387810707,0.9909502262443439,0.9864864864864865,0.9887133182844244,0.46375
900,0.027737880125641823,0.9886877828054299,0.9842342342342343,0.9864559819413092,0.4622222222222222
1000,0.016168855130672455,0.9886877828054299,0.9842342342342343,0.9864559819413092,0.459
1100,0.02746661566197872,0.9755011135857461,0.9864864864864865,0.980963045912654,0.45545454545454545
1200,0.016252346336841583,0.9799554565701559,0.990990990990991,0.9854423292273236,0.45666666666666667
1300,0.01667693629860878,0.9798657718120806,0.9864864864864865,0.9831649831649831,0.4546153846153846
1400,0.01527148112654686,0.9954648526077098,0.9887387387387387,0.9920903954802259,0.455
1500,0.016160720959305763,0.9909706546275395,0.9887387387387387,0.9898534385569334,0.4553333333333333
2000,0.014298031106591225,0.9954337899543378,0.9819819819819819,0.9886621315192743,0.45
