,test_loss,test_prec,test_recall,test_f1,positive_rate,labeled_instances,iteration_time
50,0.12875404953956604,0.8594059405940594,0.9774774774774775,0.9146469968387777,0.48,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",176.39450192451477
75,0.09054847061634064,0.8832997987927566,0.9887387387387387,0.9330499468650373,0.48,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",191.42754983901978
100,0.10882265865802765,0.8608870967741935,0.9617117117117117,0.9085106382978724,0.46,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",182.53177952766418
120,0.08800164610147476,0.8840579710144928,0.9617117117117117,0.9212513484358144,0.4666666666666667,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",196.6866705417633
140,0.08467921614646912,0.9189765458422174,0.9707207207207207,0.9441401971522453,0.45714285714285713,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",186.21087288856506
160,0.08012323826551437,0.9206008583690987,0.9662162162162162,0.9428571428571427,0.46875,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",204.76789021492004
180,0.09585059434175491,0.9135021097046413,0.9752252252252253,0.9433551198257081,0.4777777777777778,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",191.98044610023499
200,0.08166351914405823,0.9096638655462185,0.9752252252252253,0.941304347826087,0.49,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",209.0216257572174
250,0.06630096584558487,0.9299781181619255,0.9572072072072072,0.9433962264150944,0.48,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",200.85053849220276
300,0.07327979803085327,0.9398148148148148,0.9144144144144144,0.9269406392694065,0.4766666666666667,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",198.85667848587036
400,0.060791026800870895,0.9518599562363238,0.9797297297297297,0.9655937846836848,0.465,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",214.64890551567078
500,0.035015106201171875,0.9710467706013363,0.9819819819819819,0.9764837625979844,0.46,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",205.52661681175232
