,test_loss,test_prec,test_recall,test_f1,positive_rate
100,0.116583332419395,0.864372469635627,0.961711711711712,0.91044776119403,0.21
150,0.156308352947235,0.868583162217659,0.952702702702703,0.908700322234157,0.2
200,0.154752030968666,0.880324543610548,0.977477477477478,0.926360725720384,0.225
250,0.07496938854456,0.9490022172949,0.963963963963964,0.956424581005587,0.212
300,0.090659260749817,0.940659340659341,0.963963963963964,0.952169076751946,0.206666666666667
350,0.080292128026486,0.937365010799136,0.977477477477478,0.957001102535832,0.2
400,0.034881703555584,0.990846681922197,0.975225225225225,0.982973893303065,0.2075
450,0.0792445987463,0.945770065075922,0.981981981981982,0.96353591160221,0.213333333333333
500,0.074285045266152,0.945887445887446,0.984234234234234,0.964679911699779,0.204
600,0.04000211134553,0.973333333333333,0.986486486486487,0.979865771812081,0.186666666666667
700,0.060648903250694,0.956331877729258,0.986486486486487,0.971175166297117,0.184285714285714
800,0.087315924465656,0.945414847161572,0.975225225225225,0.960088691796009,0.1875
900,0.050218317657709,0.97085201793722,0.975225225225225,0.973033707865169,0.177777777777778
1000,0.043089494109154,0.958333333333333,0.984234234234234,0.971111111111111,0.176
1100,0.048273120075464,0.962637362637363,0.986486486486487,0.974416017797553,0.177272727272727
1200,0.030586060136557,0.993166287015945,0.981981981981982,0.987542468856172,0.174166666666667
1300,0.037863049656153,0.973333333333333,0.986486486486487,0.979865771812081,0.176923076923077
1400,0.030310850590468,0.984269662921348,0.986486486486487,0.985376827896513,0.175
1500,0.031104622408748,0.990888382687927,0.97972972972973,0.985277463193658,0.178
2000,0.038062065839768,0.981981981981982,0.981981981981982,0.981981981981982,0.182
7417,0.006929817143828,0.995454545454546,0.986486486486487,0.990950226244344,0.179587434272617
