,test_loss,test_prec,test_recall,test_f1,labeled_instances,positive_rate,iteration_time
50,0.143251523375511,0.879417879417879,0.952702702702703,0.914594594594595,50,0.2,183.193708181381
75,0.083618856966496,0.925170068027211,0.918918918918919,0.922033898305085,75,0.213333333333333,174.476631879807
100,0.092747800052166,0.876767676767677,0.977477477477478,0.924387646432375,100,0.21,188.101402521133
120,0.120537303388119,0.872689938398357,0.957207207207207,0.912996777658432,120,0.2,177.17214345932
140,0.114073142409325,0.87321063394683,0.961711711711712,0.915326902465166,140,0.2,192.30012345314
160,0.09163436293602,0.916129032258064,0.959459459459459,0.937293729372937,160,0.20625,182.711733341217
180,0.118853785097599,0.877800407331976,0.970720720720721,0.921925133689839,180,0.211111111111111,202.126029014587
200,0.07874620705843,0.932017543859649,0.957207207207207,0.944444444444444,200,0.225,189.968268871307
250,0.081012398004532,0.90495867768595,0.986486486486487,0.943965517241379,250,0.212,212.322303533554
300,0.057352159172297,0.943478260869565,0.977477477477478,0.960176991150442,300,0.206666666666667,204.637100934982
400,0.054290611296892,0.951859956236324,0.97972972972973,0.965593784683685,400,0.2075,212.192999601364
500,0.072744019329548,0.933901918976546,0.986486486486487,0.95947426067908,500,0.204,222.229275465012
600,0.069630898535252,0.939655172413793,0.981981981981982,0.960352422907489,600,0.186666666666667,223.395760059357
700,0.062041476368904,0.947939262472885,0.984234234234234,0.965745856353591,700,0.184285714285714,245.087569236755
800,0.066005177795887,0.954248366013072,0.986486486486487,0.970099667774086,800,0.1875,244.801854133606
900,0.065431788563728,0.940042826552462,0.988738738738739,0.96377607025247,900,0.177777777777778,244.297638177872
1000,0.06797943264246,0.94206008583691,0.988738738738739,0.964835164835165,1000,0.176,245.803902626038
1100,0.063064768910408,0.945887445887446,0.984234234234234,0.964679911699779,1100,0.177272727272727,248.960186958313
1200,0.05545399338007,0.956331877729258,0.986486486486487,0.971175166297117,1200,0.174166666666667,260.281444787979
1300,0.04834571108222,0.962555066079295,0.984234234234234,0.973273942093541,1300,0.176923076923077,268.457291126251
1400,0.05499392747879,0.958241758241758,0.981981981981982,0.969966629588432,1400,0.175,308.421020030975
1500,0.030540175735951,0.971111111111111,0.984234234234234,0.977628635346756,1500,0.178,283.776039361954
2000,0.029767081141472,0.982022471910112,0.984234234234234,0.983127109111361,2000,0.182,316.039177894592
7417,0.023580873385072,0.986486486486487,0.986486486486487,0.986486486486487,7417,0.179587434272617,546.272471189499
