,test_loss,test_prec,test_recall,test_f1,labeled_instances,positive_rate,iteration_time
50,0.1046125516295433,0.8295019157088123,0.9752252252252253,0.89648033126294,50.0,0.2,200.76468515396118
75,0.12600886821746826,0.9182242990654206,0.8851351351351351,0.9013761467889908,75.0,0.21333333333333335,211.7382390499115
100,0.17828482389450073,0.84,0.9459459459459459,0.8898305084745762,100.0,0.21,219.98191809654236
120,0.22489231824874878,0.8452380952380952,0.9594594594594594,0.8987341772151899,120.0,0.2,226.46111536026
140,0.17610229551792145,0.8686868686868687,0.9684684684684685,0.9158679446219383,140.0,0.2,224.99394702911377
160,0.14293769001960754,0.8886597938144329,0.9707207207207207,0.9278794402583422,160.0,0.20625,220.0306465625763
180,0.15945352613925934,0.8471953578336557,0.9864864864864865,0.911550468262227,180.0,0.2111111111111111,234.18436455726624
200,0.1037462130188942,0.9197396963123644,0.954954954954955,0.9370165745856354,200.0,0.225,218.519846200943
250,0.07004212588071823,0.9485458612975392,0.954954954954955,0.951739618406285,250.0,0.212,228.77510595321655
300,0.05601002275943756,0.968609865470852,0.972972972972973,0.9707865168539327,300.0,0.20666666666666667,237.13901281356812
400,0.06465806066989899,0.9562363238512035,0.9842342342342343,0.9700332963374029,400.0,0.2075,256.22200083732605
500,0.03863661363720894,0.9668874172185431,0.9864864864864865,0.9765886287625419,500.0,0.204,241.23713850975037
600,0.03678010031580925,0.9627192982456141,0.9887387387387387,0.9755555555555556,600.0,0.18666666666666668,258.5606017112732
700,0.06844457983970642,0.9519650655021834,0.9819819819819819,0.966740576496674,700.0,0.18428571428571427,274.51295042037964
800,0.048718661069869995,0.960352422907489,0.9819819819819819,0.9710467706013363,800.0,0.1875,258.90548181533813
900,0.051217176020145416,0.9775784753363229,0.9819819819819819,0.9797752808988766,900.0,0.17777777777777778,284.89518570899963
1000,0.03370125964283943,0.9821029082774049,0.9887387387387387,0.9854096520763187,1000.0,0.176,274.61571073532104
1100,0.026534460484981537,0.9931506849315068,0.9797297297297297,0.9863945578231292,1100.0,0.17727272727272728,303.7326612472534
1200,0.03257231414318085,0.9864864864864865,0.9864864864864865,0.9864864864864865,1200.0,0.17416666666666666,292.69187808036804
1300,0.040045011788606644,0.9864253393665159,0.9819819819819819,0.9841986455981941,1300.0,0.17692307692307693,325.84429240226746
1400,0.023045208305120468,0.9865168539325843,0.9887387387387387,0.9876265466816648,1400.0,0.175,322.11125111579895
1500,0.02673748880624771,0.9864559819413092,0.9842342342342343,0.9853438556933484,1500.0,0.178,320.40868496894836
2000,0.0286136195063591,0.9909297052154195,0.9842342342342343,0.9875706214689265,2000.0,0.182,351.5173752307892
7417,0.013093381188809872,0.9932126696832579,0.9887387387387387,0.9909706546275394,7417.0,0.17958743427261697,697.7897624969482
