,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.098,0.938,0.929,0.95,200,200,347.881,0.187,0.179
1,0.055,0.974,0.971,0.977,240,220,401.586,0.23,0.178
2,0.04,0.979,0.974,0.984,280,240,408.237,0.265,0.176
3,0.031,0.981,0.976,0.986,320,260,422.805,0.295,0.174
4,0.029,0.982,0.979,0.985,360,280,448.578,0.317,0.173
5,0.021,0.987,0.988,0.985,400,300,453.833,0.332,0.171
6,0.021,0.986,0.982,0.991,440,320,454.011,0.346,0.169
7,0.021,0.987,0.986,0.989,480,340,465.324,0.36,0.167
8,0.019,0.988,0.989,0.986,520,360,481.879,0.371,0.165
9,0.018,0.987,0.989,0.985,560,380,506.489,0.381,0.163
10,0.018,0.988,0.988,0.988,600,400,502.493,0.387,0.161
11,0.015,0.989,0.991,0.986,640,420,499.658,0.392,0.159
12,0.016,0.988,0.99,0.987,680,440,528.238,0.4,0.157
13,0.016,0.99,0.989,0.991,720,460,526.467,0.406,0.155
14,0.016,0.988,0.989,0.988,760,480,562.063,0.411,0.153
15,0.017,0.989,0.99,0.988,800,500,596.166,0.415,0.151
16,0.015,0.988,0.991,0.986,840,520,574.314,0.419,0.149
17,0.017,0.989,0.989,0.989,880,540,625.016,0.423,0.147
18,0.016,0.988,0.988,0.987,920,560,578.587,0.426,0.145
19,0.014,0.989,0.99,0.987,960,580,580.5,0.429,0.142
20,0.016,0.989,0.992,0.986,1000,600,598.965,0.432,0.14
