,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.144,0.726,0.71,0.745,50,0.188,0.18,495.241
1,0.12,0.737,0.713,0.765,75,0.184,0.18,495.238
2,0.172,0.88,0.897,0.894,100,0.172,0.18,494.894
3,0.08,0.942,0.936,0.947,120,0.198,0.179,490.217
4,0.115,0.923,0.887,0.965,140,0.176,0.18,524.992
5,0.113,0.929,0.895,0.971,160,0.183,0.18,549.608
6,0.113,0.934,0.918,0.953,180,0.179,0.18,517.21
7,0.106,0.941,0.911,0.974,200,0.18,0.18,513.807
8,0.089,0.947,0.928,0.97,250,0.186,0.179,560.757
9,0.068,0.963,0.948,0.978,300,0.167,0.18,541.981
10,0.049,0.972,0.963,0.981,400,0.183,0.179,564.408
11,0.056,0.97,0.966,0.974,500,0.174,0.18,622.557
12,0.042,0.975,0.968,0.982,600,0.18,0.18,624.482
13,0.046,0.977,0.973,0.981,700,0.174,0.18,719.476
14,0.034,0.982,0.99,0.974,800,0.177,0.18,755.351
15,0.04,0.978,0.983,0.973,900,0.179,0.18,703.909
16,0.049,0.977,0.979,0.975,1000,0.18,0.179,801.209
17,0.02,0.988,0.991,0.986,7417,0.18,0.18,2378.193
