,test_loss,test_prec,test_recall,test_f1,positive_rate
100,0.1301770657300949,0.8718637992831542,0.9093457943925234,0.8902104300091491,0.46
150,0.14221547544002533,0.9054441260744985,0.8859813084112149,0.8956069910250354,0.47333333333333333
200,0.1535838097333908,0.8692307692307693,0.9504672897196261,0.9080357142857142,0.485
250,0.12394954264163971,0.9137614678899083,0.930841121495327,0.9222222222222223,0.496
300,0.10029967874288559,0.9223034734917733,0.9429906542056075,0.9325323475046211,0.51
350,0.14886566996574402,0.9040723981900453,0.9336448598130841,0.9186206896551724,0.5114285714285715
400,0.1569100022315979,0.9125117591721543,0.9065420560747663,0.9095171120487576,0.5075
450,0.13189652562141418,0.9363548698167792,0.9074766355140187,0.9216896060749881,0.49777777777777776
500,0.11325359344482422,0.9270833333333334,0.9149532710280374,0.9209783631232361,0.494
600,0.1446356475353241,0.9170506912442397,0.9299065420560748,0.9234338747099768,0.49
700,0.14112353324890137,0.9428848015488868,0.9102803738317757,0.9262957679505468,0.49142857142857144
800,0.1010814681649208,0.9468690702087287,0.9327102803738317,0.9397363465160076,0.4875
900,0.1286875307559967,0.9473684210526315,0.908411214953271,0.9274809160305343,0.49
1000,0.1034448966383934,0.9452449567723343,0.9196261682242991,0.9322595926101374,0.491
1100,0.12473049759864807,0.9270544783010157,0.9383177570093458,0.9326521133302369,0.4863636363636364
1200,0.12401458621025085,0.9412861136999068,0.9439252336448598,0.9426038264115725,0.49083333333333334
1300,0.11393894255161285,0.9404096834264432,0.9439252336448598,0.9421641791044777,0.4930769230769231
1400,0.12449293583631516,0.9416195856873822,0.9345794392523364,0.9380863039399624,0.495
1500,0.10571729391813278,0.9351851851851852,0.9439252336448598,0.9395348837209302,0.49666666666666665
2000,0.11871813982725143,0.9404651162790698,0.9448598130841122,0.9426573426573427,0.491
