,test_loss,test_prec,test_recall,test_f1,positive_rate,labeled_instances,iteration_time
50,0.30434301495552063,0.6438538205980067,0.905607476635514,0.7526213592233009,0.4,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",318.13790798187256
75,0.15646307170391083,0.873405299313052,0.8317757009345794,0.8520823360459551,0.41333333333333333,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",329.5772376060486
100,0.20295435190200806,0.9267707082833133,0.7214953271028037,0.8113504992117707,0.46,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",339.27055978775024
120,0.14107376337051392,0.8505850585058505,0.883177570093458,0.8665749656121046,0.475,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",316.62892985343933
140,0.1796930730342865,0.8737769080234834,0.8345794392523365,0.8537284894837476,0.4785714285714286,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",308.2531826496124
160,0.18931467831134796,0.809016393442623,0.922429906542056,0.8620087336244542,0.48125,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",311.2323317527771
180,0.15625706315040588,0.9065708418891171,0.8252336448598131,0.8639921722113504,0.4722222222222222,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",316.59081053733826
200,0.1896752566099167,0.8344887348353552,0.9,0.8660071942446044,0.485,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",318.29539155960083
250,0.14632785320281982,0.9126984126984127,0.8598130841121495,0.8854667949951877,0.496,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",336.18993496894836
300,0.13547249138355255,0.9039923954372624,0.888785046728972,0.8963242224316682,0.51,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",345.39772939682007
400,0.1640414595603943,0.8917378917378918,0.8775700934579439,0.8845972680169572,0.5075,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",309.64370226860046
500,0.16352319717407227,0.8777372262773723,0.8990654205607477,0.8882733148661126,0.494,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",323.40586972236633
