,test_loss,test_prec,test_recall,test_f1,positive_rate
100,0.170853838324547,0.845478489903424,0.9,0.871887732005432,0.16
150,0.157834783196449,0.866783523225241,0.924299065420561,0.894617819990954,0.18
200,0.149025961756706,0.879496402877698,0.914018691588785,0.896425297891842,0.18
250,0.21238586306572,0.877477477477478,0.910280373831776,0.893577981651376,0.192
300,0.147167086601257,0.891459074733096,0.936448598130841,0.913400182315406,0.173333333333333
350,0.103240363299847,0.911151405258386,0.939252336448598,0.924988495167971,0.177142857142857
400,0.145675182342529,0.938185443668993,0.879439252336449,0.907863000482393,0.1775
450,0.107395939528942,0.935514918190568,0.908411214953271,0.92176386913229,0.168888888888889
500,0.105482704937458,0.924977127172919,0.944859813084112,0.934812760055478,0.172
600,0.166780441999435,0.911028730305839,0.918691588785047,0.914844113541182,0.191666666666667
700,0.17751844227314,0.881932021466905,0.921495327102804,0.90127970749543,0.19
800,0.11890747398138,0.91901728844404,0.94392523364486,0.931304748732135,0.1975
900,0.125667780637741,0.950592885375494,0.899065420560748,0.924111431316042,0.187777777777778
1000,0.134490713477135,0.937022900763359,0.917757009345794,0.927289896128423,0.183
1100,0.164172649383545,0.945139557266602,0.917757009345794,0.931247036510194,0.185454545454545
1200,0.108180910348892,0.946564885496183,0.927102803738318,0.936732766761095,0.185833333333333
1300,0.124745056033134,0.94681861348528,0.931775700934579,0.939236928874235,0.186153846153846
1400,0.125202268362045,0.938077634011091,0.948598130841122,0.943308550185873,0.187142857142857
1500,0.150143593549728,0.961460446247465,0.885981308411215,0.922178988326848,0.189333333333333
2000,0.122365988790989,0.941838649155722,0.938317757009346,0.940074906367041,0.187
17223,0.123410098254681,0.948148148148148,0.957009345794392,0.952558139534884,0.186204493990594
