,test_loss,test_prec,test_recall,test_f1,labeled_instances,positive_rate,iteration_time
50,0.407043606042862,0,0,0,50,0.18,319.731749773026
75,0.195524886250496,0.933333333333333,0.706542056074766,0.804255319148936,75,0.186666666666667,328.251183032989
100,0.235768437385559,0.928870292887029,0.622429906542056,0.745383324006715,100,0.16,332.458297491074
120,0.268091827630997,0.937042459736457,0.598130841121495,0.730176839703366,120,0.166666666666667,321.401185512543
140,0.17745815217495,0.818723404255319,0.899065420560748,0.857015590200445,140,0.171428571428571,311.104519367218
160,0.21374985575676,0.868257261410788,0.782242990654206,0.823008849557522,160,0.1875,314.93709731102
180,0.276478976011276,0.905637254901961,0.690654205607477,0.783669141039236,180,0.183333333333333,320.828170776367
200,0.225250959396362,0.903587443946188,0.753271028037383,0.821610601427115,200,0.18,326.928017139435
250,0.197415754199028,0.819644369178662,0.904672897196262,0.860062194580187,250,0.192,340.043917894363
300,0.232822120189667,0.930917327293318,0.768224299065421,0.841781874039939,300,0.173333333333333,347.576048612595
400,0.248056799173355,0.946224256292906,0.772897196261682,0.85082304526749,400,0.1775,306.625871896744
500,0.147108390927315,0.908045977011494,0.885981308411215,0.896877956480605,500,0.172,319.592321634293
600,0.169499009847641,0.879310344827586,0.905607476635514,0.892265193370166,600,0.191666666666667,341.628800868988
700,0.146264463663101,0.928988326848249,0.892523364485981,0.910390848427073,700,0.19,359.817787647247
800,0.156046882271767,0.915157292659676,0.897196261682243,0.906087777253421,800,0.1975,366.935631513596
900,0.173483327031136,0.901515151515151,0.889719626168224,0.895578551269991,900,0.187777777777778,391.506762266159
1000,0.131741181015968,0.913938260056127,0.913084112149533,0.913510986442263,1000,0.183,358.641664505005
1100,0.148728922009468,0.909005628517824,0.905607476635514,0.907303370786517,1100,0.185454545454545,395.187523603439
1200,0.158286675810814,0.917457305502846,0.903738317757009,0.910546139359699,1200,0.185833333333333,422.566630840302
1300,0.129629418253899,0.914076782449726,0.934579439252336,0.924214417744917,1300,0.186153846153846,429.414324998856
1400,0.141630306839943,0.921830314585319,0.903738317757009,0.912694667295894,1400,0.187142857142857,442.08518409729
1500,0.152269646525383,0.925215723873442,0.901869158878505,0.913393279697113,1500,0.189333333333333,419.845214605331
2000,0.153041198849678,0.889082969432315,0.951401869158878,0.919187358916479,2000,0.187,464.80675816536
17223,0.125103652477264,0.944962686567164,0.946728971962617,0.945845004668534,17223,0.186204493990594,1059.32046198845
