,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.177,0.889,0.881,0.901,200,385.213,0.18,0.186
1,0.132,0.912,0.916,0.91,240,478.058,0.233,0.186
2,0.107,0.929,0.932,0.925,280,470.086,0.265,0.185
3,0.097,0.935,0.93,0.942,320,458.958,0.299,0.184
4,0.095,0.94,0.933,0.947,360,468.712,0.324,0.183
5,0.092,0.943,0.943,0.943,400,479.018,0.337,0.183
6,0.093,0.941,0.939,0.944,440,467.844,0.356,0.182
7,0.092,0.942,0.938,0.946,480,483.883,0.368,0.181
8,0.093,0.94,0.934,0.946,520,485.517,0.382,0.18
9,0.094,0.943,0.94,0.946,560,481.936,0.389,0.179
10,0.089,0.944,0.941,0.947,600,478.635,0.402,0.178
11,0.092,0.946,0.943,0.95,640,479.715,0.408,0.178
12,0.089,0.946,0.943,0.949,680,479.814,0.415,0.177
13,0.086,0.948,0.94,0.956,720,482.557,0.422,0.176
14,0.09,0.949,0.944,0.955,760,486.395,0.424,0.175
15,0.09,0.947,0.945,0.95,800,488.012,0.426,0.175
16,0.095,0.949,0.945,0.953,840,502.694,0.425,0.174
17,0.09,0.95,0.943,0.956,880,500.15,0.426,0.173
18,0.092,0.948,0.94,0.957,920,495.197,0.426,0.173
19,0.193,0.759,0.753,0.764,960,496.316,0.426,0.172
20,0.092,0.95,0.947,0.953,996,505.71,0.427,0.171
