,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.234,0.5,0.512,0.497,50,0.18,0.186,603.824
1,0.177,0.859,0.819,0.91,75,0.216,0.186,596.956
2,0.225,0.845,0.85,0.85,100,0.178,0.186,616.628
3,0.187,0.871,0.86,0.885,120,0.175,0.186,625.158
4,0.159,0.885,0.885,0.892,140,0.16,0.186,611.743
5,0.144,0.894,0.858,0.936,160,0.179,0.186,655.004
6,0.133,0.902,0.885,0.92,180,0.176,0.186,658.285
7,0.176,0.894,0.854,0.941,200,0.192,0.186,664.678
8,0.14,0.894,0.881,0.909,250,0.185,0.186,616.536
9,0.123,0.92,0.89,0.954,300,0.19,0.186,624.991
10,0.115,0.925,0.907,0.945,400,0.19,0.186,660.4
11,0.139,0.922,0.909,0.937,500,0.186,0.186,701.824
12,0.124,0.927,0.924,0.931,600,0.174,0.187,698.633
13,0.114,0.935,0.932,0.938,700,0.188,0.186,692.654
14,0.133,0.927,0.909,0.945,800,0.185,0.186,727.051
15,0.12,0.935,0.928,0.942,900,0.182,0.186,762.253
16,0.11,0.933,0.93,0.937,1000,0.198,0.186,753.347
17,0.112,0.954,0.945,0.963,17223,0.186,0.186,3654.551
