,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.186,0.858,0.82,0.907,0.4,0.186,50,627.739
1,0.155,0.877,0.824,0.94,0.413,0.185,75,607.414
2,0.137,0.889,0.857,0.924,0.46,0.185,100,583.872
3,0.127,0.9,0.877,0.926,0.475,0.184,120,597.446
4,0.134,0.907,0.865,0.955,0.479,0.184,140,631.935
5,0.141,0.905,0.867,0.947,0.481,0.183,160,619.399
6,0.143,0.911,0.914,0.909,0.472,0.183,180,660.485
7,0.166,0.901,0.865,0.941,0.485,0.183,200,674.561
8,0.127,0.921,0.921,0.921,0.496,0.182,250,638.149
9,0.115,0.923,0.92,0.926,0.51,0.18,300,627.452
10,0.136,0.92,0.925,0.915,0.507,0.179,400,695.882
11,0.118,0.926,0.923,0.929,0.494,0.177,500,725.851
12,0.129,0.928,0.931,0.926,0.49,0.175,600,708.216
13,0.133,0.931,0.924,0.939,0.491,0.173,700,719.748
14,0.132,0.929,0.942,0.916,0.488,0.172,800,730.274
15,0.134,0.932,0.937,0.927,0.49,0.169,900,765.685
16,0.131,0.931,0.933,0.929,0.491,0.167,1000,806.968
