,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.345,0.312,0.458,0.258,200,200,321.35,0.098,0.094
1,0.317,0.453,0.478,0.453,240,220,366.15,0.138,0.092
2,0.283,0.564,0.651,0.526,280,240,370.988,0.159,0.091
3,0.315,0.588,0.694,0.542,320,260,374.437,0.195,0.088
4,0.219,0.708,0.726,0.698,360,280,381.154,0.223,0.086
5,0.249,0.68,0.736,0.634,400,300,390.152,0.247,0.083
6,0.209,0.72,0.736,0.711,440,320,404.621,0.266,0.08
7,0.209,0.736,0.796,0.694,480,340,399.594,0.281,0.078
8,0.176,0.791,0.811,0.775,520,360,408.653,0.292,0.075
9,0.207,0.776,0.748,0.808,560,380,417.666,0.301,0.073
10,0.172,0.795,0.833,0.764,600,400,437.083,0.309,0.07
11,0.149,0.834,0.849,0.821,640,420,436.044,0.317,0.068
12,0.156,0.819,0.832,0.807,680,440,444.078,0.326,0.065
13,0.149,0.835,0.829,0.844,720,460,451.6,0.333,0.062
14,0.159,0.815,0.794,0.839,760,480,451.284,0.337,0.059
15,0.166,0.806,0.823,0.791,800,500,464.114,0.342,0.057
16,0.157,0.835,0.848,0.823,840,520,467.572,0.347,0.054
17,0.148,0.836,0.832,0.842,880,540,482.5,0.353,0.05
18,0.135,0.854,0.86,0.848,920,560,491.187,0.355,0.048
19,0.131,0.855,0.877,0.836,960,580,486.608,0.357,0.045
20,0.132,0.852,0.856,0.85,1000,600,497.903,0.362,0.042
