,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.402,0.279,0.257,0.327,0.42,0.091,50,396.31
1,0.385,0.362,0.334,0.523,0.44,0.089,75,411.185
2,0.341,0.452,0.397,0.535,0.46,0.088,100,402.564
3,0.327,0.498,0.44,0.595,0.475,0.086,120,395.727
4,0.432,0.506,0.437,0.664,0.457,0.085,140,390.814
5,0.317,0.521,0.483,0.584,0.456,0.084,160,386.34
6,0.371,0.523,0.444,0.663,0.456,0.083,180,404.258
7,0.327,0.551,0.545,0.559,0.455,0.082,200,401.185
8,0.343,0.616,0.526,0.766,0.468,0.078,250,411.213
9,0.311,0.642,0.557,0.772,0.47,0.074,300,410.788
10,0.347,0.641,0.523,0.833,0.488,0.066,400,449.095
11,0.21,0.764,0.68,0.875,0.508,0.057,500,452.274
12,0.265,0.727,0.609,0.904,0.518,0.048,600,475.094
13,0.257,0.734,0.625,0.893,0.519,0.039,700,488.992
14,0.209,0.768,0.677,0.89,0.519,0.03,800,517.341
15,0.198,0.794,0.727,0.877,0.47,0.029,900,533.568
16,0.183,0.791,0.721,0.877,0.439,0.027,1000,555.228
