,test_loss,test_prec,test_recall,test_f1,positive_rate
100,0.3417428433895111,0.0,0.0,0.0,0.19
150,0.3076731264591217,0.5742574257425742,0.5631067961165048,0.5686274509803921,0.31333333333333335
200,0.2564225196838379,0.6380368098159509,0.5048543689320388,0.5636856368563685,0.34
250,0.16663719713687897,0.8314606741573034,0.7184466019417476,0.7708333333333335,0.368
300,0.14675788581371307,0.8802395209580839,0.7135922330097088,0.7882037533512065,0.38666666666666666
350,0.12503963708877563,0.8534031413612565,0.7912621359223301,0.8211586901763224,0.4114285714285714
400,0.12960460782051086,0.8636363636363636,0.8300970873786407,0.8465346534653465,0.41
450,0.12051995098590851,0.8808290155440415,0.8252427184466019,0.8521303258145363,0.42444444444444446
500,0.13480830192565918,0.8530805687203792,0.8737864077669902,0.8633093525179856,0.426
600,0.15483571588993073,0.8865979381443299,0.8349514563106796,0.86,0.42833333333333334
700,0.16155850887298584,0.8606965174129353,0.8398058252427184,0.85012285012285,0.41
800,0.1643897444009781,0.8302752293577982,0.8786407766990292,0.8537735849056604,0.37625
900,0.1255510300397873,0.8620689655172413,0.8495145631067961,0.8557457212713936,0.3511111111111111
1000,0.1575678288936615,0.8256880733944955,0.8737864077669902,0.8490566037735849,0.339
1100,0.14207416772842407,0.875,0.8495145631067961,0.8620689655172414,0.31727272727272726
1200,0.1590615212917328,0.8669950738916257,0.8543689320388349,0.8606356968215159,0.30416666666666664
1300,0.1617777943611145,0.9114583333333334,0.8495145631067961,0.8793969849246231,0.30153846153846153
1400,0.13449080288410187,0.8731707317073171,0.8689320388349514,0.8710462287104622,0.2892857142857143
1500,0.1440209001302719,0.8865979381443299,0.8349514563106796,0.86,0.278
2000,0.12110263854265213,0.9132653061224489,0.8689320388349514,0.8905472636815919,0.2355
