,test_loss,test_prec,test_recall,test_f1,positive_rate,labeled_instances,iteration_time
50,0.34299898147583,0,0,0,0.18,50,551.052245855331
75,0.336483389139175,0,0,0,0.173333333333333,75,364.839553594589
100,0.342051655054092,0.285714285714286,0.019417475728155,0.036363636363636,0.19,100,431.245906591415
120,0.373699963092804,0.230769230769231,0.029126213592233,0.051724137931035,0.225,120,362.454858064651
140,0.703461945056915,0.16079295154185,0.354368932038835,0.221212121212121,0.285714285714286,140,415.978691339493
160,0.536853194236755,0.2,0.364077669902913,0.258175559380379,0.31875,160,355.720903635025
180,0.484580397605896,0.165680473372781,0.271844660194175,0.205882352941176,0.322222222222222,180,306.630028486252
200,0.655966281890869,0.172645739910314,0.37378640776699,0.236196319018405,0.34,200,354.810366392136
250,0.373723924160004,0.413669064748201,0.558252427184466,0.475206611570248,0.368,250,230.909912586212
300,0.497367709875107,0.238845144356955,0.441747572815534,0.310051107325383,0.386666666666667,300,221.152011156082
400,0.244567573070526,0.582142857142857,0.79126213592233,0.670781893004115,0.41,400,222.57259106636
500,0.22521698474884,0.640692640692641,0.718446601941748,0.677345537757437,0.426,500,230.043194532394
600,0.226967707276344,0.634328358208955,0.825242718446602,0.717299578059072,0.428333333333333,600,233.441015481949
700,0.225004956126213,0.665322580645161,0.800970873786408,0.726872246696035,0.41,700,239.001989364624
800,0.227420419454575,0.681102362204724,0.839805825242718,0.752173913043478,0.37625,800,243.326292991638
900,0.245585784316063,0.651515151515152,0.83495145631068,0.731914893617021,0.351111111111111,900,254.644149541855
1000,0.255853235721588,0.665338645418327,0.810679611650485,0.730853391684901,0.339,1000,286.764147996902
1100,0.239667966961861,0.695278969957082,0.786407766990291,0.738041002277904,0.317272727272727,1100,263.407389879227
1200,0.222843840718269,0.697872340425532,0.796116504854369,0.743764172335601,0.304166666666667,1200,270.578272819519
1300,0.220826730132103,0.720524017467249,0.800970873786408,0.758620689655172,0.301538461538462,1300,274.204644441605
1400,0.20399335026741,0.767441860465116,0.800970873786408,0.783847980997625,0.289285714285714,1400,283.253127574921
1500,0.186757639050484,0.772093023255814,0.805825242718447,0.788598574821853,0.278,1500,290.074825763702
2000,0.195621147751808,0.76605504587156,0.810679611650485,0.787735849056604,0.2355,2000,315.136034250259
