,test_loss,test_prec,test_recall,test_f1,positive_rate
100,0.390493422746658,0,0,0,0.08
150,0.506470620632172,0.134615384615385,0.033980582524272,0.054263565891473,0.093333333333333
200,0.230240076780319,0.837209302325581,0.349514563106796,0.493150684931507,0.085
250,0.448512822389603,0.744186046511628,0.155339805825243,0.257028112449799,0.072
300,0.527141273021698,0.476190476190476,0.097087378640777,0.161290322580645,0.07
350,0.456644684076309,0.657894736842105,0.121359223300971,0.204918032786885,0.077142857142857
400,0.330105721950531,0.808333333333333,0.470873786407767,0.595092024539877,0.08
450,0.39201819896698,0.666666666666667,0.330097087378641,0.441558441558442,0.08
500,0.462544202804565,0.157894736842105,0.058252427184466,0.085106382978724,0.084
600,0.332385778427124,0.649006622516556,0.475728155339806,0.549019607843137,0.086666666666667
700,0.148453399538994,0.860103626943005,0.805825242718447,0.832080200501253,0.082857142857143
800,0.14666473865509,0.883040935672515,0.733009708737864,0.801061007957559,0.08875
900,0.227969214320183,0.654867256637168,0.718446601941748,0.685185185185185,0.091111111111111
1000,0.345993131399155,0,0,0,0.094
1100,0.147689864039421,0.800995024875622,0.781553398058252,0.791154791154791,0.092727272727273
1200,0.194661840796471,0.874285714285714,0.742718446601942,0.803149606299213,0.094166666666667
1300,0.204862117767334,0.903225806451613,0.679611650485437,0.775623268698061,0.094615384615385
1400,0.347077548503876,0,0,0,0.096428571428572
1500,0.15278834104538,0.910614525139665,0.79126213592233,0.846753246753247,0.097333333333333
2000,0.138717174530029,0.866995073891626,0.854368932038835,0.860635696821516,0.098
5743,0.102142982184887,0.928571428571429,0.883495145631068,0.905472636815921,0.107261013407627
