,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.357,0.0,0.0,0.0,0.18,0.107,50,418.834
1,0.351,0.017,0.057,0.01,0.173,0.106,75,425.606
2,0.342,0.0,0.0,0.0,0.19,0.106,100,438.279
3,0.394,0.11,0.089,0.144,0.225,0.105,120,436.695
4,0.385,0.408,0.385,0.444,0.286,0.103,140,438.564
5,0.296,0.584,0.581,0.614,0.319,0.101,160,450.056
6,0.282,0.561,0.566,0.565,0.322,0.1,180,466.32
7,0.219,0.668,0.731,0.625,0.34,0.099,200,466.725
8,0.192,0.715,0.779,0.669,0.368,0.095,250,473.932
9,0.165,0.772,0.813,0.745,0.387,0.092,300,483.494
10,0.154,0.814,0.821,0.809,0.41,0.085,400,507.052
11,0.142,0.837,0.837,0.839,0.426,0.077,500,536.137
12,0.148,0.844,0.841,0.848,0.428,0.07,600,562.646
13,0.143,0.845,0.834,0.858,0.41,0.065,700,588.066
14,0.154,0.846,0.849,0.845,0.376,0.064,800,611.418
15,0.158,0.857,0.852,0.862,0.351,0.062,900,635.887
16,0.163,0.858,0.835,0.883,0.339,0.059,1000,663.69
