,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.328,0.258,0.356,0.223,200.0,302.295,0.083,0.094
1,0.39,0.416,0.563,0.335,233.333,335.401,0.107,0.093
2,0.31,0.463,0.522,0.427,273.333,341.441,0.155,0.091
3,0.315,0.577,0.684,0.501,313.333,355.636,0.183,0.089
4,0.274,0.659,0.794,0.57,353.333,352.391,0.216,0.086
5,0.261,0.646,0.78,0.582,393.333,370.491,0.246,0.083
6,0.182,0.763,0.843,0.706,433.333,359.076,0.265,0.081
7,0.17,0.783,0.799,0.77,473.333,353.488,0.287,0.078
8,0.174,0.779,0.829,0.746,513.333,354.55,0.3,0.075
9,0.153,0.811,0.801,0.82,553.333,353.676,0.311,0.072
10,0.142,0.836,0.835,0.839,593.333,357.59,0.317,0.07
11,0.172,0.814,0.803,0.826,633.333,361.139,0.325,0.067
12,0.166,0.803,0.802,0.807,673.333,362.127,0.333,0.064
13,0.155,0.838,0.834,0.843,713.333,363.535,0.341,0.061
14,0.145,0.83,0.832,0.829,753.333,373.468,0.345,0.059
15,0.146,0.841,0.866,0.817,793.333,365.939,0.348,0.056
16,0.162,0.817,0.791,0.845,833.333,370.025,0.355,0.053
17,0.163,0.825,0.839,0.813,873.333,383.308,0.354,0.051
18,0.15,0.834,0.853,0.817,913.333,383.543,0.356,0.048
19,0.137,0.844,0.841,0.848,953.333,380.178,0.361,0.045
20,0.143,0.844,0.864,0.826,993.333,381.509,0.363,0.042
