,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.4,0.208,0.327,0.194,200,200,165.464,0.091,0.102
1,0.403,0.46,0.547,0.41,236,218,176.688,0.131,0.101
2,0.361,0.5,0.622,0.423,276,238,184.48,0.168,0.099
3,0.367,0.459,0.602,0.379,316,258,184.699,0.198,0.097
4,0.366,0.514,0.689,0.418,356,278,182.76,0.22,0.095
5,0.338,0.498,0.659,0.415,396,298,188.644,0.239,0.093
6,0.346,0.531,0.641,0.466,436,318,193.012,0.26,0.091
7,0.396,0.507,0.615,0.439,476,338,195.575,0.269,0.089
8,0.342,0.562,0.683,0.489,516,358,196.387,0.277,0.087
9,0.355,0.538,0.672,0.456,556,378,198.325,0.288,0.085
10,0.329,0.583,0.707,0.497,596,398,199.41,0.301,0.083
11,0.334,0.586,0.697,0.507,636,418,202.63,0.307,0.081
12,0.334,0.575,0.748,0.468,676,438,208.659,0.313,0.079
13,0.31,0.574,0.714,0.485,716,458,206.173,0.324,0.076
14,0.314,0.611,0.711,0.537,756,478,214.546,0.334,0.073
15,0.321,0.607,0.74,0.515,796,498,215.958,0.336,0.071
16,0.308,0.601,0.721,0.516,836,518,214.701,0.342,0.068
17,0.292,0.623,0.751,0.534,876,538,218.682,0.346,0.066
18,0.294,0.635,0.751,0.55,916,558,220.745,0.35,0.063
19,0.291,0.637,0.751,0.554,956,578,225.614,0.352,0.061
20,0.288,0.641,0.761,0.555,996,598,228.698,0.359,0.058
