,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.122,0.164,0.211,0.202,0.0,15.286,0.014,0.0
1,0.036,0.11,0.155,0.1,17.889,19.822,0.02,0.001
2,0.046,0.032,0.1,0.084,17.889,22.092,0.031,0.002
3,0.033,0.03,0.078,0.074,17.889,24.599,0.021,0.001
4,0.016,0.018,0.048,0.06,17.889,23.281,0.009,0.001
5,0.044,0.043,0.047,0.071,17.889,18.184,0.015,0.002
6,0.033,0.022,0.065,0.058,17.889,20.269,0.021,0.003
7,0.053,0.03,0.035,0.052,17.889,26.748,0.018,0.003
8,0.039,0.019,0.036,0.039,17.889,22.677,0.015,0.003
9,0.019,0.018,0.061,0.048,17.889,21.543,0.012,0.003
10,0.024,0.015,0.017,0.025,17.889,21.155,0.015,0.003
11,0.027,0.014,0.037,0.043,17.889,26.383,0.013,0.003
12,0.012,0.019,0.039,0.017,17.889,29.506,0.013,0.004
13,0.019,0.012,0.02,0.023,17.889,25.601,0.009,0.003
14,0.01,0.015,0.033,0.029,17.889,30.028,0.009,0.003
15,0.035,0.019,0.029,0.033,17.889,29.372,0.008,0.003
16,0.027,0.011,0.03,0.024,17.889,26.853,0.007,0.003
17,0.042,0.017,0.011,0.024,18.089,27.712,0.004,0.002
18,0.023,0.016,0.029,0.019,22.208,26.503,0.003,0.002
19,0.009,0.017,0.02,0.026,28.934,33.286,0.004,0.002
20,0.029,0.022,0.016,0.032,23.816,30.225,0.004,0.002
