,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.018,0.01,0.016,0.02,0.0,0.0,0.0,91.509
1,0.033,0.0,0.0,0.0,0.0,0.0,0.0,40.87
2,0.008,0.0,0.0,0.0,0.0,0.0,0.0,46.992
3,0.02,0.004,0.224,0.002,0.0,0.0,0.0,48.079
4,0.022,0.134,0.252,0.1,0.0,0.0,0.0,42.148
5,0.021,0.132,0.267,0.095,0.0,0.0,0.0,47.56
6,0.04,0.095,0.183,0.066,0.0,0.0,0.0,40.336
7,0.051,0.123,0.089,0.108,0.0,0.0,0.0,44.533
8,0.018,0.092,0.033,0.121,0.0,0.0,0.0,50.54
9,0.021,0.132,0.065,0.167,0.0,0.0,0.0,48.143
10,0.025,0.105,0.1,0.213,0.0,0.0,0.0,39.278
11,0.039,0.011,0.042,0.055,0.0,0.0,0.0,42.261
12,0.025,0.029,0.058,0.073,0.0,0.0,0.0,42.715
13,0.052,0.017,0.043,0.027,0.0,0.0,0.0,40.618
14,0.011,0.032,0.093,0.079,0.0,0.0,0.0,39.176
15,0.022,0.015,0.042,0.067,0.0,0.0,0.0,36.994
16,0.015,0.012,0.036,0.031,0.0,0.0,0.0,46.635
17,0.033,0.017,0.064,0.059,0.0,0.0,0.0,39.557
18,0.022,0.015,0.027,0.036,0.0,0.0,0.0,50.87
19,0.032,0.016,0.017,0.039,0.0,0.0,0.0,44.018
20,0.008,0.007,0.012,0.02,0.0,0.0,0.0,44.043
21,0.023,0.007,0.026,0.016,0.0,0.0,0.0,47.481
22,0.029,0.017,0.024,0.037,0.0,0.0,0.0,42.298
23,0.009,0.019,0.038,0.047,0.0,0.0,0.0,35.051
24,0.102,0.294,0.298,0.291,0.0,0.0,0.0,42.64
25,0.02,0.028,0.034,0.036,0.0,0.0,0.0,37.665
26,0.023,0.012,0.016,0.02,0.0,0.0,0.0,35.097
27,0.02,0.012,0.035,0.037,0.0,0.0,0.0,39.88
28,0.025,0.028,0.036,0.054,0.0,0.0,0.0,38.526
29,0.006,0.006,0.018,0.017,0.0,0.0,0.0,38.861
30,0.034,0.01,0.02,0.018,0.0,0.0,0.0,44.451
